Gene	Name of protein	Fold change	fraction	abundance_direction	source_file	source_table	source_row
MEGF11	Multiple epidermal growth factor-like domains protein 11	14.0	cytoplasm	increased	00-data-raw/Alhujaily et al. - 2021/Data Sheet 1.pdf	Table S3	p27 row 1
TSTA3	GDP-L-fucose synthase	5.7	cytoplasm	increased	00-data-raw/Alhujaily et al. - 2021/Data Sheet 1.pdf	Table S3	p27 row 2
NLRP2	NACHT, LRR and PYD domains-containing protein 2	4.1	cytoplasm	increased	00-data-raw/Alhujaily et al. - 2021/Data Sheet 1.pdf	Table S3	p27 row 3
TRIM52	Tripartite motif-containing protein 52	3.6	cytoplasm	increased	00-data-raw/Alhujaily et al. - 2021/Data Sheet 1.pdf	Table S3	p27 row 4
CHMP2A	Charged multivesicular body protein 2a	3.5	cytoplasm	increased	00-data-raw/Alhujaily et al. - 2021/Data Sheet 1.pdf	Table S3	p27 row 5
GPR119	Glucose-dependent insulinotropic receptor	3.4	cytoplasm	increased	00-data-raw/Alhujaily et al. - 2021/Data Sheet 1.pdf	Table S3	p27 row 6
KRT9	Keratin, type I cytoskeletal 9	3.3	cytoplasm	increased	00-data-raw/Alhujaily et al. - 2021/Data Sheet 1.pdf	Table S3	p27 row 7
ABHD12B	Alpha/Beta Hydrolase Domain-Containing Protein 12B	3.2	cytoplasm	increased	00-data-raw/Alhujaily et al. - 2021/Data Sheet 1.pdf	Table S3	p27 row 8
CACNA1H	Voltage-dependent T-type calcium channel subunit alpha-1H	3.2	cytoplasm	increased	00-data-raw/Alhujaily et al. - 2021/Data Sheet 1.pdf	Table S3	p27 row 9
SV2B	Synaptic vesicle glycoprotein 2B	3.2	cytoplasm	increased	00-data-raw/Alhujaily et al. - 2021/Data Sheet 1.pdf	Table S3	p27 row 10
THRA	Thyroid hormone receptor alpha	2.7	cytoplasm	increased	00-data-raw/Alhujaily et al. - 2021/Data Sheet 1.pdf	Table S3	p27 row 11
KIAA0355	Uncharacterized protein KIAA0355	2.6	cytoplasm	increased	00-data-raw/Alhujaily et al. - 2021/Data Sheet 1.pdf	Table S3	p27 row 12
FAAP20	Fanconi anemia core complex-associated protein 20	2.6	cytoplasm	increased	00-data-raw/Alhujaily et al. - 2021/Data Sheet 1.pdf	Table S3	p27 row 13
REXO2	Oligoribonuclease, mitochondrial	2.4	cytoplasm	increased	00-data-raw/Alhujaily et al. - 2021/Data Sheet 1.pdf	Table S3	p27 row 14
CIITA	MHC class II transactivator	2.4	cytoplasm	increased	00-data-raw/Alhujaily et al. - 2021/Data Sheet 1.pdf	Table S3	p27 row 15
MZT2A	Mitotic-spindle organizing protein 2A	2.3	cytoplasm	increased	00-data-raw/Alhujaily et al. - 2021/Data Sheet 1.pdf	Table S3	p27 row 16
PTPRN2	Receptor-type tyrosine-protein phosphatase N2	2.1	cytoplasm	increased	00-data-raw/Alhujaily et al. - 2021/Data Sheet 1.pdf	Table S3	p27 row 17
SLC25A37	Mitoferrin-1	2.1	cytoplasm	increased	00-data-raw/Alhujaily et al. - 2021/Data Sheet 1.pdf	Table S3	p27 row 18
TUBGCP6	Gamma-tubulin complex component 6	2.0	cytoplasm	increased	00-data-raw/Alhujaily et al. - 2021/Data Sheet 1.pdf	Table S3	p27 row 19
CLN5	Ceroid-lipofuscinosis neuronal protein 5	2.0	cytoplasm	increased	00-data-raw/Alhujaily et al. - 2021/Data Sheet 1.pdf	Table S3	p27 row 20
MACF1	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5	2.0	cytoplasm	increased	00-data-raw/Alhujaily et al. - 2021/Data Sheet 1.pdf	Table S3	p27 row 21
COL27A1	Collagen alpha-1(XXVII) chain	2.0	cytoplasm	increased	00-data-raw/Alhujaily et al. - 2021/Data Sheet 1.pdf	Table S3	p27 row 22
PLCB1	Phosphoinositide phospholipase C	1.9	cytoplasm	increased	00-data-raw/Alhujaily et al. - 2021/Data Sheet 1.pdf	Table S3	p27 row 23
