From	Entry	Entry Name	Protein names	Gene Names	Organism
"MEGF11	Multiple epidermal growth factor-like domains protein 11"	A6BM72	MEG11_HUMAN	Multiple epidermal growth factor-like domains protein 11 (Multiple EGF-like domains protein 11)	MEGF11 KIAA1781	Homo sapiens (Human)
"TSTA3	GDP-L-fucose synthase"	Q13630	FCL_HUMAN	GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase) (Protein FX) (Red cell NADP(H)-binding protein) (Short-chain dehydrogenase/reductase family 4E member 1)	GFUS SDR4E1 TSTA3	Homo sapiens (Human)
"NLRP2	NACHT, LRR and PYD domains-containing protein 2"	Q9NX02	NALP2_HUMAN	NACHT, LRR and PYD domains-containing protein 2 (Nucleotide-binding site protein 1) (PYRIN domain and NACHT domain-containing protein 1) (PYRIN-containing APAF1-like protein 2)	NLRP2 NALP2 NBS1 PAN1 PYPAF2	Homo sapiens (Human)
"TRIM52	Tripartite motif-containing protein 52"	Q96A61	TRI52_HUMAN	E3 ubiquitin-protein ligase TRIM52 (EC 2.3.2.27) (RING finger protein 102) (Tripartite motif-containing protein 52)	TRIM52 RNF102	Homo sapiens (Human)
"CHMP2A	Charged multivesicular body protein 2a"	O43633	CHM2A_HUMAN	Charged multivesicular body protein 2a (Chromatin-modifying protein 2a (CHMP2a)) (Putative breast adenocarcinoma marker BC-2) (Vacuolar protein sorting-associated protein 2-1 (Vps2-1) (hVps2-1))	CHMP2A BC2 CHMP2	Homo sapiens (Human)
"GPR119	Glucose-dependent insulinotropic receptor"	Q8TDV5	GP119_HUMAN	Glucose-dependent insulinotropic receptor (G protein-coupled receptor 119)	GPR119	Homo sapiens (Human)
"KRT9	Keratin, type I cytoskeletal 9"	P35527	K1C9_HUMAN	Keratin, type I cytoskeletal 9 (Cytokeratin-9 (CK-9)) (Keratin-9 (K9))	KRT9	Homo sapiens (Human)
"ABHD12B	Alpha/Beta Hydrolase Domain-Containing Protein 12B"	Q7Z5M8	AB12B_HUMAN	Protein ABHD12B (EC 3.-.-.-) (Abhydrolase domain-containing protein 12B) (Alpha/beta hydrolase domain-containing protein 12B)	ABHD12B C14orf29	Homo sapiens (Human)
"CACNA1H	Voltage-dependent T-type calcium channel subunit alpha-1H"	O95180	CAC1H_HUMAN	Voltage-dependent T-type calcium channel subunit alpha-1H (Low-voltage-activated calcium channel alpha1 3.2 subunit) (Voltage-gated calcium channel subunit alpha Cav3.2)	CACNA1H	Homo sapiens (Human)
"SV2B	Synaptic vesicle glycoprotein 2B"	Q7L1I2	SV2B_HUMAN	Synaptic vesicle glycoprotein 2B	SV2B KIAA0735	Homo sapiens (Human)
