From	Entry	Entry Name	Protein names	Gene Names	Organism
"Q04917	14-3-3 protein eta"	Q04917	1433F_HUMAN	14-3-3 protein eta (Protein AS1)	YWHAH YWHA1	Homo sapiens (Human)
"P31947	14-3-3 protein sigma"	P31947	1433S_HUMAN	14-3-3 protein sigma (Epithelial cell marker protein 1) (Stratifin)	SFN HME1	Homo sapiens (Human)
"P63104	14-3-3 protein zeta/delta"	P63104	1433Z_HUMAN	14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1 (KCIP-1))	YWHAZ	Homo sapiens (Human)
"A0A087X2I1	26S proteasome regulatory subunit 10B"	A0A087X2I1	A0A087X2I1_HUMAN	26S proteasome regulatory subunit 10B (26S proteasome AAA-ATPase subunit RPT4) (Proteasome 26S subunit ATPase 6) (Proteasome subunit p42)	PSMC6	Homo sapiens (Human)
"P82650	28S ribosomal protein S22, mitochondrial"	P82650	RT22_HUMAN	Small ribosomal subunit protein mS22 (28S ribosomal protein S22, mitochondrial (MRP-S22) (S22mt))	MRPS22 C3orf5 RPMS22	Homo sapiens (Human)
"P82675	28S ribosomal protein S5, mitochondrial"	P82675	RT05_HUMAN	Small ribosomal subunit protein uS5m (28S ribosomal protein S5, mitochondrial (MRP-S5) (S5mt))	MRPS5	Homo sapiens (Human)
"P39019	40S ribosomal protein S19"	P39019	RS19_HUMAN	Small ribosomal subunit protein eS19 (40S ribosomal protein S19)	RPS19	Homo sapiens (Human)
"P62701	40S ribosomal protein S4, X isoform"	P62701	RS4X_HUMAN	Small ribosomal subunit protein eS4, X isoform (40S ribosomal protein S4) (SCR10) (Single copy abundant mRNA protein)	RPS4X CCG2 RPS4 SCAR	Homo sapiens (Human)
"Q92688	Acidic leucine-rich nuclear phosphoprotein 32 family member B"	Q92688	AN32B_HUMAN	Acidic leucine-rich nuclear phosphoprotein 32 family member B (Acidic protein rich in leucines) (Putative HLA-DR-associated protein I-2 (PHAPI2)) (Silver-stainable protein SSP29)	ANP32B APRIL PHAPI2	Homo sapiens (Human)
"O15144	Actin-related protein 2/3 complex subunit 2"	O15144	ARPC2_HUMAN	Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit (p34-ARC))	ARPC2 ARC34	Homo sapiens (Human)
"P00568	Adenylate kinase isoenzyme 1"	P00568	KAD1_HUMAN	Adenylate kinase isoenzyme 1 (AK 1) (EC 2.7.4.3) (EC 2.7.4.4) (EC 2.7.4.6) (ATP-AMP transphosphorylase 1) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (Myokinase)	AK1	Homo sapiens (Human)
"Q12802	A-kinase anchor protein 13"	Q12802	AKP13_HUMAN	A-kinase anchor protein 13 (AKAP-13) (AKAP-Lbc) (Breast cancer nuclear receptor-binding auxiliary protein) (Guanine nucleotide exchange factor Lbc) (Human thyroid-anchoring protein 31) (Lymphoid blast crisis oncogene (LBC oncogene)) (Non-oncogenic Rho GTPase-specific GTP exchange factor) (Protein kinase A-anchoring protein 13 (PRKA13)) (p47)	AKAP13 BRX HT31 LBC	Homo sapiens (Human)
"P40222	Alpha-taxilin"	P40222	TXLNA_HUMAN	Alpha-taxilin	TXLNA TXLN	Homo sapiens (Human)
"G3V325	ATP5MF-PTCD1 readthrough"	G3V325	G3V325_HUMAN	Pentatricopeptide repeat-containing protein 1, mitochondrial	ATP5MF-PTCD1	Homo sapiens (Human)
"F8WCU9	AT-rich interactive domain-containing protein 2 (Fragment)"	F8WCU9	F8WCU9_HUMAN	AT-rich interactive domain-containing protein 2 (BRG1-associated factor 200) (Zinc finger protein with activation potential) (Zipzap/p200)	ARID2	Homo sapiens (Human)
"Q9NYF8	Bcl-2-associated transcription factor 1"	Q9NYF8	BCLF1_HUMAN	Bcl-2-associated transcription factor 1 (Btf) (BCLAF1 and THRAP3 family member 1)	BCLAF1 BTF KIAA0164	Homo sapiens (Human)
"Q53HL2	Borealin"	Q53HL2	BOREA_HUMAN	Borealin (Cell division cycle-associated protein 8) (Dasra-B (hDasra-B)) (Pluripotent embryonic stem cell-related gene 3 protein)	CDCA8 PESCRG3	Homo sapiens (Human)
"Q6P1N0	Coiled-coil and C2 domain-containing protein 1A"	Q6P1N0	C2D1A_HUMAN	Coiled-coil and C2 domain-containing protein 1A (Akt kinase-interacting protein 1) (Five prime repressor element under dual repression-binding protein 1 (FRE under dual repression-binding protein 1) (Freud-1)) (Putative NF-kappa-B-activating protein 023N)	CC2D1A AKI1 LGD2	Homo sapiens (Human)
"Q9BUK0	Coiled-coil-helix-coiled-coil-helix domain-containing protein 7"	Q9BUK0	CHCH7_HUMAN	Coiled-coil-helix-coiled-coil-helix domain-containing protein 7	CHCHD7	Homo sapiens (Human)
"P78357	Contactin-associated protein 1"	P78357	CNTP1_HUMAN	Contactin-associated protein 1 (Caspr) (Caspr1) (Neurexin IV) (Neurexin-4) (p190)	CNTNAP1 CASPR NRXN4	Homo sapiens (Human)
"Q13098	COP9 signalosome complex subunit 1"	Q13098	CSN1_HUMAN	COP9 signalosome complex subunit 1 (SGN1) (Signalosome subunit 1) (G protein pathway suppressor 1 (GPS-1)) (JAB1-containing signalosome subunit 1) (Protein MFH)	GPS1 COPS1 CSN1	Homo sapiens (Human)
"O43175	D-3-phosphoglycerate dehydrogenase"	O43175	SERA_HUMAN	D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase (EC 1.1.1.399)) (Malate dehydrogenase (EC 1.1.1.37))	PHGDH PGDH3	Homo sapiens (Human)
"B4DM58	Dihydrofolate reductase"	B4DM58	B4DM58_HUMAN	Dihydrofolate reductase (EC 1.5.1.3)		Homo sapiens (Human)
"Q5JUW8	Discs, large homolog 3 (Neuroendocrine-dlg, Drosophila), isoform CRA_b"	Q5JUW8	Q5JUW8_HUMAN	Discs large MAGUK scaffold protein 3	DLG3	Homo sapiens (Human)
"P33991	DNA replication licensing factor MCM4"	P33991	MCM4_HUMAN	DNA replication licensing factor MCM4 (EC 3.6.4.12) (CDC21 homolog) (P1-CDC21)	MCM4 CDC21	Homo sapiens (Human)
"Q7Z6Z7	E3 ubiquitin-protein ligase HUWE1"	Q7Z6Z7	HUWE1_HUMAN	E3 ubiquitin-protein ligase HUWE1 (EC 2.3.2.26) (ARF-binding protein 1 (ARF-BP1)) (HECT, UBA and WWE domain-containing protein 1) (HECT-type E3 ubiquitin transferase HUWE1) (Homologous to E6AP carboxyl terminus homologous protein 9 (HectH9)) (Large structure of UREB1 (LASU1)) (Mcl-1 ubiquitin ligase E3 (Mule)) (Upstream regulatory element-binding protein 1 (URE-B1) (URE-binding protein 1))	HUWE1 KIAA0312 KIAA1578 UREB1	Homo sapiens (Human)
"Q92791	Endoplasmic reticulum protein SC65"	Q92791	SC65_HUMAN	Endoplasmic reticulum protein SC65 (Leprecan-like protein 4) (Nucleolar autoantigen No55) (Prolyl 3-hydroxylase family member 4) (Synaptonemal complex protein SC65)	P3H4 LEPREL4 NOL55 SC65	Homo sapiens (Human)
"A0A0C4DGA2	Enoyl-CoA delta isomerase 2, mitochondrial"	A0A0C4DGA2	A0A0C4DGA2_HUMAN	Enoyl-CoA delta isomerase 2 (EC 5.3.3.8) (Delta(3),Delta(2)-enoyl-CoA isomerase) (Dodecenoyl-CoA isomerase) (Peroxisomal 3,2-trans-enoyl-CoA isomerase)	ECI2	Homo sapiens (Human)
"O43414	ERI1 exoribonuclease 3"	O43414	ERI3_HUMAN	ERI1 exoribonuclease 3 (EC 3.1.-.-) (Prion interactor 1) (Prion protein-interacting protein)	ERI3 PINT1 PRNPIP PRNPIP1	Homo sapiens (Human)
"Q96KP1	Exocyst complex component 2"	Q96KP1	EXOC2_HUMAN	Exocyst complex component 2 (Exocyst complex component Sec5)	EXOC2 SEC5 SEC5L1	Homo sapiens (Human)
"O60645	Exocyst complex component 3"	O60645	EXOC3_HUMAN	Exocyst complex component 3 (Exocyst complex component Sec6)	EXOC3 SEC6 SEC6L1	Homo sapiens (Human)
"P15311	Ezrin"	P15311	EZRI_HUMAN	Ezrin (Cytovillin) (Villin-2) (p81)	EZR VIL2	Homo sapiens (Human)
"Q9BXW9	Fanconi anemia group D2 protein"	Q9BXW9	FACD2_HUMAN	Fanconi anemia group D2 protein (Protein FACD2)	FANCD2 FACD	Homo sapiens (Human)
"P49327	Fatty acid synthase"	P49327	FAS_HUMAN	Fatty acid synthase (EC 2.3.1.85) (Type I fatty acid synthase)	FASN FAS	Homo sapiens (Human)
"Q96NE9	FERM domain-containing protein 6"	Q96NE9	FRMD6_HUMAN	FERM domain-containing protein 6 (Willin)	FRMD6 C14orf31	Homo sapiens (Human)
"Q14315	Filamin-C"	Q14315	FLNC_HUMAN	Filamin-C (FLN-C) (FLNc) (ABP-280-like protein) (ABP-L) (Actin-binding-like protein) (Filamin-2) (Gamma-filamin)	FLNC ABPL FLN2	Homo sapiens (Human)
"P09972	Fructose-bisphosphate aldolase C"	P09972	ALDOC_HUMAN	Fructose-bisphosphate aldolase C (EC 4.1.2.13) (Brain-type aldolase)	ALDOC ALDC	Homo sapiens (Human)
"O00214	Galectin-8"	O00214	LEG8_HUMAN	Galectin-8 (Gal-8) (Po66 carbohydrate-binding protein (Po66-CBP)) (Prostate carcinoma tumor antigen 1 (PCTA-1))	LGALS8	Homo sapiens (Human)
"Q16666	Gamma-interferon-inducible protein 16"	Q16666	IF16_HUMAN	Gamma-interferon-inducible protein 16 (Ifi-16) (Interferon-inducible myeloid differentiation transcriptional activator)	IFI16 IFNGIP1	Homo sapiens (Human)
