From	Entry	Entry Name	Protein names	Gene Names	Organism
"P62258	14-3-3 protein epsilon"	P62258	1433E_HUMAN	14-3-3 protein epsilon (14-3-3E)	YWHAE	Homo sapiens (Human)
"P68133	Actin, alpha skeletal muscle"	P68133	ACTS_HUMAN	Actin, alpha skeletal muscle (EC 3.6.4.-) (Alpha-actin-1)	ACTA1 ACTA	Homo sapiens (Human)
"A0A2R8Y793	Actin, cytoplasmic 1 (Fragment)"	A0A2R8Y793	A0A2R8Y793_HUMAN	Actin beta	ACTB	Homo sapiens (Human)
"P53999	Activated RNA polymerase II transcriptional coactivator p15"	P53999	TCP4_HUMAN	Activated RNA polymerase II transcriptional coactivator p15 (Positive cofactor 4 (PC4)) (SUB1 homolog) (p14)	SUB1 PC4 RPO2TC1	Homo sapiens (Human)
"P61163	Alpha-centractin"	P61163	ACTZ_HUMAN	Alpha-centractin (Centractin) (ARP1) (Actin-RPV) (Centrosome-associated actin homolog)	ACTR1A CTRN1	Homo sapiens (Human)
"E9PLK3	Aminopeptidase"	E9PLK3	E9PLK3_HUMAN	Aminopeptidase (EC 3.4.11.-)	NPEPPS	Homo sapiens (Human)
"Q9Y679	Ancient ubiquitous protein 1"	Q9Y679	AUP1_HUMAN	Lipid droplet-regulating VLDL assembly factor AUP1 (Ancient ubiquitous protein 1)	AUP1	Homo sapiens (Human)
"P80723	Brain acid soluble protein 1"	P80723	BASP1_HUMAN	Brain acid soluble protein 1 (22 kDa neuronal tissue-enriched acidic protein) (Neuronal axonal membrane protein NAP-22)	BASP1 NAP22	Homo sapiens (Human)
"P16152	Carbonyl reductase [NADPH] 1"	P16152	CBR1_HUMAN	Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (15-hydroxyprostaglandin dehydrogenase [NADP(+)] (EC 1.1.1.196) (EC 1.1.1.197)) (20-beta-hydroxysteroid dehydrogenase) (Alcohol dehydrogenase [NAD(P)+] CBR1 (EC 1.1.1.71)) (NADPH-dependent carbonyl reductase 1) (Prostaglandin 9-ketoreductase (PG-9-KR)) (Prostaglandin-E(2) 9-reductase (EC 1.1.1.189)) (Short chain dehydrogenase/reductase family 21C member 1)	CBR1 CBR CRN SDR21C1	Homo sapiens (Human)
"Q9BXL7	Caspase recruitment domain-containing protein 11"	Q9BXL7	CAR11_HUMAN	Caspase recruitment domain-containing protein 11 (CARD-containing MAGUK protein 1 (Carma 1))	CARD11 CARMA1	Homo sapiens (Human)
"Q5SZE1	Ceramide synthase 2 (Fragment)"	Q5SZE1	Q5SZE1_HUMAN	Ceramide synthase 2	CERS2	Homo sapiens (Human)
"E7EW49	CLIP-associating protein 2"	E7EW49	E7EW49_HUMAN	CLIP-associating protein 1 (Cytoplasmic linker-associated protein 1)	CLASP2	Homo sapiens (Human)
"O60826	Coiled-coil domain-containing protein 22"	O60826	CCD22_HUMAN	Coiled-coil domain-containing protein 22	CCDC22 CXorf37	Homo sapiens (Human)
"A0A590UK19	Coiled-coil domain-containing protein 30"	A0A590UK19	A0A590UK19_HUMAN	Coiled-coil domain containing 30	CCDC30	Homo sapiens (Human)
"J3KNI1	Conserved oligomeric Golgi complex subunit 4"	J3KNI1	J3KNI1_HUMAN	Conserved oligomeric Golgi complex subunit 4 (Component of oligomeric Golgi complex 4)	COG4	Homo sapiens (Human)
"Q13363	C-terminal-binding protein 1"	Q13363	CTBP1_HUMAN	C-terminal-binding protein 1 (CtBP1) (EC 1.1.1.-)	CTBP1 CTBP	Homo sapiens (Human)
