From	Entry	Entry Name	Protein names	Gene Names	Organism
"P61604	10 kDa heat shock protein, mitochondrial"	P61604	CH10_HUMAN	10 kDa heat shock protein, mitochondrial (Hsp10) (10 kDa chaperonin) (Chaperonin 10 (CPN10)) (Early-pregnancy factor (EPF)) (Heat shock protein family E member 1)	HSPE1	Homo sapiens (Human)
"P31946	14-3-3 protein beta/alpha"	P31946	1433B_HUMAN	14-3-3 protein beta/alpha (Protein 1054) (Protein kinase C inhibitor protein 1 (KCIP-1))	YWHAB	Homo sapiens (Human)
"P62258	14-3-3 protein epsilon"	P62258	1433E_HUMAN	14-3-3 protein epsilon (14-3-3E)	YWHAE	Homo sapiens (Human)
"P63104	14-3-3 protein zeta/delta"	P63104	1433Z_HUMAN	14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1 (KCIP-1))	YWHAZ	Homo sapiens (Human)
"Q13200	26S proteasome non-ATPase regulatory subunit 2"	Q13200	PSMD2_HUMAN	26S proteasome non-ATPase regulatory subunit 2 (26S proteasome regulatory subunit RPN1) (26S proteasome regulatory subunit S2) (26S proteasome subunit p97) (Protein 55.11) (Tumor necrosis factor type 1 receptor-associated protein 2)	PSMD2 TRAP2	Homo sapiens (Human)
"O75600	2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial"	O75600	KBL_HUMAN	2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial (AKB ligase) (EC 2.3.1.29) (Aminoacetone synthase) (Glycine acetyltransferase)	GCAT KBL	Homo sapiens (Human)
"O95861	3'(2'),5'-bisphosphate nucleotidase 1"	O95861	BPNT1_HUMAN	3'(2'),5'-bisphosphate nucleotidase 1 (EC 3.1.3.7) (3'-phosphoadenosine 5'-phosphate phosphatase (PAP phosphatase)) (Bisphosphate 3'-nucleotidase 1 (BPntase 1)) (HsPIP) (Inositol-polyphosphate 1-phosphatase (EC 3.1.3.57))	BPNT1	Homo sapiens (Human)
"Q6P1L8	39S ribosomal protein L14, mitochondrial"	Q6P1L8	RM14_HUMAN	Large ribosomal subunit protein uL14m (39S ribosomal protein L14, mitochondrial (L14mt) (MRP-L14)) (39S ribosomal protein L32, mitochondrial (L32mt) (MRP-L32))	MRPL14 MRPL32 RPML32	Homo sapiens (Human)
"Q9NZE8	39S ribosomal protein L35, mitochondrial"	Q9NZE8	RM35_HUMAN	Large ribosomal subunit protein bL35m (39S ribosomal protein L35, mitochondrial (L35mt) (MRP-L35))	MRPL35	Homo sapiens (Human)
"P42765	3-ketoacyl-CoA thiolase, mitochondrial"	P42765	THIM_HUMAN	3-ketoacyl-CoA thiolase, mitochondrial (EC 2.3.1.16) (Acetyl-CoA acetyltransferase (EC 2.3.1.9)) (Acetyl-CoA acyltransferase) (Acyl-CoA hydrolase, mitochondrial (EC 3.1.2.-) (EC 3.1.2.1) (EC 3.1.2.2)) (Beta-ketothiolase) (Mitochondrial 3-oxoacyl-CoA thiolase) (T1)	ACAA2	Homo sapiens (Human)
"P62841	40S ribosomal protein S15"	P62841	RS15_HUMAN	Small ribosomal subunit protein uS19 (40S ribosomal protein S15) (RIG protein)	RPS15 RIG	Homo sapiens (Human)
"P15880	40S ribosomal protein S2"	P15880	RS2_HUMAN	Small ribosomal subunit protein uS5 (40S ribosomal protein S2) (40S ribosomal protein S4) (Protein LLRep3)	RPS2 RPS4	Homo sapiens (Human)
"P62851	40S ribosomal protein S25"	P62851	RS25_HUMAN	Small ribosomal subunit protein eS25 (40S ribosomal protein S25)	RPS25	Homo sapiens (Human)
"P62854	40S ribosomal protein S26"	P62854	RS26_HUMAN	Small ribosomal subunit protein eS26 (40S ribosomal protein S26)	RPS26	Homo sapiens (Human)
"P62701	40S ribosomal protein S4, X isoform"	P62701	RS4X_HUMAN	Small ribosomal subunit protein eS4, X isoform (40S ribosomal protein S4) (SCR10) (Single copy abundant mRNA protein)	RPS4X CCG2 RPS4 SCAR	Homo sapiens (Human)
"P62753	40S ribosomal protein S6"	P62753	RS6_HUMAN	Small ribosomal subunit protein eS6 (40S ribosomal protein S6) (Phosphoprotein NP33)	RPS6	Homo sapiens (Human)
"Q9H0D6	5'-3' exoribonuclease 2"	Q9H0D6	XRN2_HUMAN	5'-3' exoribonuclease 2 (EC 3.1.13.-) (DHM1-like protein (DHP protein))	XRN2	Homo sapiens (Human)
"P10809	60 kDa heat shock protein, mitochondrial"	P10809	CH60_HUMAN	60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60 (CPN60)) (Heat shock protein 60 (HSP-60) (Hsp60)) (Heat shock protein family D member 1) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein)	HSPD1 HSP60	Homo sapiens (Human)
"F8W7C6	60S ribosomal protein L10"	F8W7C6	F8W7C6_HUMAN	Ribosomal protein L10	RPL10	Homo sapiens (Human)
"P26373	60S ribosomal protein L13"	P26373	RL13_HUMAN	Large ribosomal subunit protein eL13 (60S ribosomal protein L13) (Breast basic conserved protein 1)	RPL13 BBC1	Homo sapiens (Human)
"P84098	60S ribosomal protein L19"	P84098	RL19_HUMAN	Large ribosomal subunit protein eL19 (60S ribosomal protein L19)	RPL19	Homo sapiens (Human)
"P46778	60S ribosomal protein L21"	P46778	RL21_HUMAN	Large ribosomal subunit protein eL21 (60S ribosomal protein L21)	RPL21	Homo sapiens (Human)
"P83731	60S ribosomal protein L24"	P83731	RL24_HUMAN	Large ribosomal subunit protein eL24 (60S ribosomal protein L24) (60S ribosomal protein L30)	RPL24	Homo sapiens (Human)
"P62899	60S ribosomal protein L31"	P62899	RL31_HUMAN	Large ribosomal subunit protein eL31 (60S ribosomal protein L31)	RPL31	Homo sapiens (Human)
"P49207	60S ribosomal protein L34"	P49207	RL34_HUMAN	Large ribosomal subunit protein eL34 (60S ribosomal protein L34)	RPL34	Homo sapiens (Human)
"P36578	60S ribosomal protein L4"	P36578	RL4_HUMAN	Large ribosomal subunit protein uL4 (60S ribosomal protein L1) (60S ribosomal protein L4)	RPL4 RPL1	Homo sapiens (Human)
"Q92688	Acidic leucine-rich nuclear phosphoprotein 32 family member B"	Q92688	AN32B_HUMAN	Acidic leucine-rich nuclear phosphoprotein 32 family member B (Acidic protein rich in leucines) (Putative HLA-DR-associated protein I-2 (PHAPI2)) (Silver-stainable protein SSP29)	ANP32B APRIL PHAPI2	Homo sapiens (Human)
