From	Selected Entry	Selected Entry Name	Confidence	Reason	Alternative Entries
"Aspartate aminotransferase, cytoplasmic	AATM"	P17174	AATC_HUMAN	medium	Protein name and the hint 'AATM' point to different entries (selected AATC_HUMAN, genes GOT1); check the source for a naming error.	P00505 (AATM_HUMAN), Q8NHS2 (AATC2_HUMAN), O15269 (SPTC1_HUMAN)
"T-complex protein 1 subunit delta	TPCD"	P50991	TCPD_HUMAN	medium	Protein name and the hint 'TPCD' point to different entries (selected TCPD_HUMAN, genes CCT4 CCTD SRB); check the source for a naming error.	A8K3C3 (A8K3C3_HUMAN), B7Z2F4 (B7Z2F4_HUMAN), B7Z2Z8 (B7Z2Z8_HUMAN)
"40S ribosomal protein S7	TPD54"	P62081	RS7_HUMAN	medium	Protein name and the hint 'TPD54' point to different entries (selected RS7_HUMAN, genes RPS7); check the source for a naming error.	O43399 (TPD54_HUMAN), A0A2R8Y623 (A0A2R8Y623_HUMAN), B5MCP9 (B5MCP9_HUMAN)
"Heat shock protein 70 kDa 1A	HSP71A"	P0DMV8	HS71A_HUMAN	medium	Protein name and the hint 'HSP71A' point to different entries (selected HS71A_HUMAN, genes HSPA1A HSP72 HSPA1 HSX70); check the source for a naming error.	P02545 (LMNA_HUMAN), B3KUS2 (B3KUS2_HUMAN), B4DNX1 (B4DNX1_HUMAN)
"Rho GDP-dissociation inhibitor 2	ARHGD1B"	P52566	GDIR2_HUMAN	medium	Protein name and the hint 'ARHGD1B' point to different entries (selected GDIR2_HUMAN, genes ARHGDIB GDIA2 GDID4 RAP1GN1); check the source for a naming error.	P31150 (GDIA_HUMAN), P50395 (GDIB_HUMAN), P52565 (GDIR1_HUMAN)
"T-complex protein 1 subunit theta	TPCQ"	P50990	TCPQ_HUMAN	medium	Protein name and the hint 'TPCQ' point to different entries (selected TCPQ_HUMAN, genes CCT8 C21orf112 CCTQ KIAA0002); check the source for a naming error.	A6NM43 (TCPQL_HUMAN), Q96SF2 (TCPQM_HUMAN), H7C4C8 (H7C4C8_HUMAN)
40S ribosomal protein S4	P15880	RS2_HUMAN	low	Candidate ranking is ambiguous or only weakly supported.	P22090 (RS4Y1_HUMAN), P62701 (RS4X_HUMAN), Q8TD47 (RS4Y2_HUMAN)
"Glucose-6-phosphate dehydrogenase	G6PDH"	P11413	G6PD_HUMAN	medium	Protein name and the hint 'G6PDH' point to different entries (selected G6PD_HUMAN, genes G6PD); check the source for a naming error.	O14556 (G3PT_HUMAN), P43304 (GPDM_HUMAN), P52209 (6PGD_HUMAN)
"Nucleosome assembly protein 1-like 1	NAPIL1"	P55209	NP1L1_HUMAN	medium	Protein name and the hint 'NAPIL1' point to different entries (selected NP1L1_HUMAN, genes NAP1L1 NRP); check the source for a naming error.	Q96NT1 (NP1L5_HUMAN), Q99457 (NP1L3_HUMAN), Q99733 (NP1L4_HUMAN)
"Nucleosome assembly protein 1-like 4	NAPIL4"	Q99733	NP1L4_HUMAN	medium	Protein name and the hint 'NAPIL4' point to different entries (selected NP1L4_HUMAN, genes NAP1L4 NAP2); check the source for a naming error.	P55209 (NP1L1_HUMAN), Q09028 (RBBP4_HUMAN), Q99457 (NP1L3_HUMAN)
Nucleoside diphosphate kinase (NME1-NME2)	P15531	NDKA_HUMAN	low	Candidate ranking is ambiguous or only weakly supported.	P22392 (NDKB_HUMAN), O00746 (NDKD_HUMAN), O75414 (NDK6_HUMAN)
"Phosphatase 2A Inhibitor	I2PP2A"	P39687	AN32A_HUMAN	medium	Protein name and the hint 'I2PP2A' point to different entries (selected AN32A_HUMAN, genes ANP32A C15orf1 LANP MAPM PHAP1); check the source for a naming error.	Q01105 (SET_HUMAN), P30153 (2AAA_HUMAN), P63151 (2ABA_HUMAN)
"Rho GDP-dissociation inhibitor 1	ARHGD1A"	P52565	GDIR1_HUMAN	medium	Protein name and the hint 'ARHGD1A' point to different entries (selected GDIR1_HUMAN, genes ARHGDIA GDIA1); check the source for a naming error.	A0A0S2Z3D9 (A0A0S2Z3D9_HUMAN), J3KRE2 (J3KRE2_HUMAN), J3KRY1 (J3KRY1_HUMAN)
"T-complex protein 1 subunit epsilon	TPCE"	P48643	TCPE_HUMAN	medium	Protein name and the hint 'TPCE' point to different entries (selected TCPE_HUMAN, genes CCT5 CCTE KIAA0098); check the source for a naming error.	B4DDU6 (B4DDU6_HUMAN), B4DE30 (B4DE30_HUMAN), B4DXI1 (B4DXI1_HUMAN)
"T-complex protein 1 subunit gamma	TPCG"	P49368	TCPG_HUMAN	medium	Protein name and the hint 'TPCG' point to different entries (selected TCPG_HUMAN, genes CCT3 CCTG TRIC5); check the source for a naming error.	B3KX11 (B3KX11_HUMAN), B4DUR8 (B4DUR8_HUMAN), Q2TU64 (Q2TU64_HUMAN)
