From	Entry	Entry Name	Protein names	Gene Names	Organism
"P08670	Vimentin"	P08670	VIME_HUMAN	Vimentin	VIM	Homo sapiens (Human)
"P68371	Tubulin beta-4B chain"	P68371	TBB4B_HUMAN	Tubulin beta-4B chain (Tubulin beta-2 chain) (Tubulin beta-2C chain)	TUBB4B TUBB2C	Homo sapiens (Human)
"Q5QNW6	Histone H2B type 2-F"	Q5QNW6	H2B2F_HUMAN	Histone H2B type 2-F (H2B-clustered histone 18)	H2BC18 HIST2H2BF	Homo sapiens (Human)
"P26641	Elongation factor 1-gamma"	P26641	EF1G_HUMAN	Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma)	EEF1G EF1G	Homo sapiens (Human)
"P60660	Myosin light polypeptide 6"	P60660	MYL6_HUMAN	Myosin light polypeptide 6 (17 kDa myosin light chain (LC17)) (Myosin light chain 3 (MLC-3)) (Myosin light chain alkali 3 (Myosin light chain A3)) (Smooth muscle and nonmuscle myosin light chain alkali 6)	MYL6	Homo sapiens (Human)
"P63261	Actin, cytoplasmic 2, N-terminally processed"	P63261	ACTG_HUMAN	Actin, cytoplasmic 2 (EC 3.6.4.-) (Gamma-actin)	ACTG1 ACTG	Homo sapiens (Human)
"P22732	Solute carrier family 2, facilitated glucose transporter member 5"	P22732	GTR5_HUMAN	Solute carrier family 2, facilitated glucose transporter member 5 (Fructose transporter) (Glucose transporter type 5, small intestine (GLUT-5))	SLC2A5 GLUT5	Homo sapiens (Human)
"Q9Y2V2	Calcium-regulated heat-stable protein 1"	Q9Y2V2	CHSP1_HUMAN	Calcium-regulated heat-stable protein 1 (Calcium-regulated heat-stable protein of 24 kDa (CRHSP-24))	CARHSP1	Homo sapiens (Human)
"Q08378	Golgin subfamily A member 3"	Q08378	GOGA3_HUMAN	Golgin subfamily A member 3 (Golgi complex-associated protein of 170 kDa (GCP170)) (Golgin-160)	GOLGA3	Homo sapiens (Human)
"Q6NSI1	Putative ankyrin repeat domain-containing protein 26-like protein"	Q6NSI1	AR26L_HUMAN	Putative ankyrin repeat domain-containing protein 26-like protein	ANKRD26P1	Homo sapiens (Human)
"Q9Y2F9	BTB/POZ domain-containing protein 3"	Q9Y2F9	BTBD3_HUMAN	BTB/POZ domain-containing protein 3	BTBD3 KIAA0952	Homo sapiens (Human)
"Q9NXL9	DNA helicase MCM9"	Q9NXL9	MCM9_HUMAN	DNA helicase MCM9 (hMCM9) (EC 5.6.2.4) (DNA 3'-5' helicase MCM9) (Mini-chromosome maintenance deficient domain-containing protein 1) (Minichromosome maintenance 9)	MCM9 C6orf61 MCMDC1	Homo sapiens (Human)
"Q8IVE3	Pleckstrin homology domain-containing family H member 2"	Q8IVE3	PKHH2_HUMAN	Pleckstrin homology domain-containing family H member 2	PLEKHH2 KIAA2028	Homo sapiens (Human)
"Q8NCL9	Protein APCDD1-like"	Q8NCL9	APCDL_HUMAN	Protein APCDD1-like (Adenomatosis polyposis coli down-regulated 1 protein-like)	APCDD1L	Homo sapiens (Human)
"Q86Y07	Serine/threonine-protein kinase VRK2"	Q86Y07	VRK2_HUMAN	Serine/threonine-protein kinase VRK2 (EC 2.7.11.1) (Vaccinia-related kinase 2)	VRK2	Homo sapiens (Human)
"P52298	Nuclear cap-binding protein subunit 2"	P52298	NCBP2_HUMAN	Nuclear cap-binding protein subunit 2 (20 kDa nuclear cap-binding protein) (Cell proliferation-inducing gene 55 protein) (NCBP 20 kDa subunit (CBP20)) (NCBP-interacting protein 1 (NIP1))	NCBP2 CBP20	Homo sapiens (Human)
"Q9BXF9	Tektin-3"	Q9BXF9	TEKT3_HUMAN	Tektin-3	TEKT3	Homo sapiens (Human)
"P60709	Actin, cytoplasmic 1, N-terminally processed"	P60709	ACTB_HUMAN	Actin, cytoplasmic 1 (EC 3.6.4.-) (Beta-actin)	ACTB	Homo sapiens (Human)
"A5A3E0	POTE ankyrin domain family member F"	A5A3E0	POTEF_HUMAN	POTE ankyrin domain family member F (ANKRD26-like family C member 1B) (Chimeric POTE-actin protein)	POTEF A26C1B	Homo sapiens (Human)
"P48643	T-complex protein 1 subunit epsilon"	P48643	TCPE_HUMAN	T-complex protein 1 subunit epsilon (TCP-1-epsilon) (EC 3.6.1.-) (CCT-epsilon) (Chaperonin containing T-complex polypeptide 1 subunit 5)	CCT5 CCTE KIAA0098	Homo sapiens (Human)
"P61550	Endogenous retrovirus group S71 member 1 Env polyprotein"	P61550	ENVT1_HUMAN	Endogenous retrovirus group S71 member 1 Env polyprotein (Envelope polyprotein) (HERV-T Env protein) (HERV-T_19q13.11 provirus ancestral Env polyprotein)	ERVS71-1	Homo sapiens (Human)
"P52790	Hexokinase-3"	P52790	HXK3_HUMAN	Hexokinase-3 (EC 2.7.1.1) (Hexokinase type III (HK III)) (Hexokinase-C)	HK3	Homo sapiens (Human)
"P61160	Actin-related protein 2"	P61160	ARP2_HUMAN	Actin-related protein 2 (Actin-like protein 2)	ACTR2 ARP2	Homo sapiens (Human)
"P52179	Myomesin-1"	P52179	MYOM1_HUMAN	Myomesin-1 (190 kDa connectin-associated protein) (190 kDa titin-associated protein) (Myomesin family member 1)	MYOM1	Homo sapiens (Human)
