From	Entry	Entry Name	Protein names	Gene Names	Organism	Source	Notes
"VIME_HUMAN	Vimentin"	P08670	VIME_HUMAN	Vimentin	VIM	Homo sapiens (Human)	auto	
"BIP_HUMAN	Endoplasmic reticulum chaperone BiP"	P11021	BIP_HUMAN	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein (GRP-78)) (Binding-immunoglobulin protein (BiP)) (Heat shock protein 70 family protein 5 (HSP70 family protein 5)) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein)	HSPA5 GRP78	Homo sapiens (Human)	auto	
"ENPL_HUMAN	Endoplasmin"	P14625	ENPL_HUMAN	Endoplasmin (EC 3.6.4.-) (94 kDa glucose-regulated protein (GRP-94)) (Heat shock protein 90 kDa beta member 1) (Heat shock protein family C member 4) (Tumor rejection antigen 1) (gp96 homolog)	HSP90B1 GRP94 HSPC4 TRA1	Homo sapiens (Human)	auto	
"LMNA_HUMAN	Prelamin-A/C"	P02545	LMNA_HUMAN	Prelamin-A/C	LMNA LMN1	Homo sapiens (Human)	auto	
"PLEC_HUMAN	Plectin"	Q15149	PLEC_HUMAN	Plectin (PCN) (PLTN) (Hemidesmosomal protein 1 (HD1)) (Plectin-1)	PLEC PLEC1	Homo sapiens (Human)	auto	
"CKAP4_HUMAN	Cytoskeleton-associated protein 4"	Q07065	CKAP4_HUMAN	Cytoskeleton-associated protein 4 (63-kDa cytoskeleton-linking membrane protein (Climp-63) (p63))	CKAP4	Homo sapiens (Human)	auto	
"GRP75_HUMAN	Stress-70 protein, mitochondrial"	P38646	HSPA9_HUMAN	Stress-70 protein, mitochondrial (EC 3.6.4.10) (75 kDa glucose-regulated protein (GRP-75)) (Heat shock 70 kDa protein 9) (Heat shock protein family A member 9) (Mortalin (MOT)) (Peptide-binding protein 74 (PBP74))	HSPA9 GRP75 HSPA9B mt-HSP70	Homo sapiens (Human)	auto	
"ACTG_HUMAN	Actin, cytoplasmic 2"	P63261	ACTG_HUMAN	Actin, cytoplasmic 2 (EC 3.6.4.-) (Gamma-actin)	ACTG1 ACTG	Homo sapiens (Human)	auto	
"ACTN4_HUMAN	Alpha-actinin-4"	O43707	ACTN4_HUMAN	Alpha-actinin-4 (Non-muscle alpha-actinin 4)	ACTN4	Homo sapiens (Human)	auto	
"AHNK_HUMAN	Neuroblast differentiation- associated protein AHNAK"	Q09666	AHNK_HUMAN	Neuroblast differentiation-associated protein AHNAK (Desmoyokin)	AHNAK PM227	Homo sapiens (Human)	auto	
"PDIA1_HUMAN	Protein disulfide-isomerase"	P07237	PDIA1_HUMAN	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55)	P4HB ERBA2L PDI PDIA1 PO4DB	Homo sapiens (Human)	auto	
"ANXA6_HUMAN	Annexin A6"	P08133	ANXA6_HUMAN	Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II (CPB-II)) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70)	ANXA6 ANX6	Homo sapiens (Human)	auto	
"MOES_HUMAN	Moesin"	P26038	MOES_HUMAN	Moesin (Membrane-organizing extension spike protein)	MSN	Homo sapiens (Human)	auto	
"PDIA4_HUMAN	Protein disulfide-isomerase A4"	P13667	PDIA4_HUMAN	Protein disulfide-isomerase A4 (EC 5.3.4.1) (Endoplasmic reticulum resident protein 70 (ER protein 70) (ERp70)) (Endoplasmic reticulum resident protein 72 (ER protein 72) (ERp-72) (ERp72))	PDIA4 ERP70 ERP72	Homo sapiens (Human)	auto	
"FLNA_HUMAN	Filamin-A"	P21333	FLNA_HUMAN	Filamin-A (FLN-A) (Actin-binding protein 280 (ABP-280)) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin)	FLNA FLN FLN1	Homo sapiens (Human)	auto	
"HSP7C_HUMAN	Heat shock cognate 71 kDa protein"	P11142	HSP7C_HUMAN	Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8) (Heat shock protein family A member 8) (Lipopolysaccharide-associated protein 1 (LAP-1) (LPS-associated protein 1))	HSPA8 HSC70 HSP73 HSPA10	Homo sapiens (Human)	auto	
"PDIA6_HUMAN	Protein disulfide-isomerase A6"	Q15084	PDIA6_HUMAN	Protein disulfide-isomerase A6 (EC 5.3.4.1) (Endoplasmic reticulum protein 5 (ER protein 5) (ERp5)) (Protein disulfide isomerase P5) (Thioredoxin domain-containing protein 7)	PDIA6 ERP5 P5 TXNDC7	Homo sapiens (Human)	auto	
"CH10_HUMAN	10 kDa heat shock protein, mitochondrial"	P61604	CH10_HUMAN	10 kDa heat shock protein, mitochondrial (Hsp10) (10 kDa chaperonin) (Chaperonin 10 (CPN10)) (Early-pregnancy factor (EPF)) (Heat shock protein family E member 1)	HSPE1	Homo sapiens (Human)	auto	
"1433Z_HUMAN	14-3-3 protein zeta/delta"	P63104	1433Z_HUMAN	14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1 (KCIP-1))	YWHAZ	Homo sapiens (Human)	auto	
"ANXA1_HUMAN	Annexin A1"	P04083	ANXA1_HUMAN	Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35)	ANXA1 ANX1 LPC1	Homo sapiens (Human)	auto	
"ANXA5_HUMAN	Annexin A5"	P08758	ANXA5_HUMAN	Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I (CPB-I)) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4 (PP4)) (Placental anticoagulant protein I (PAP-I)) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha (VAC-alpha))	ANXA5 ANX5 ENX2 PP4	Homo sapiens (Human)	auto	
"CALR_HUMAN	Calreticulin"	P27797	CALR_HUMAN	Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60 (ERp60)) (HACBP) (grp60)	CALR CRTC	Homo sapiens (Human)	auto	
"CISY_HUMAN	Citrate synthase"	O75390	CISY_HUMAN	Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)	CS	Homo sapiens (Human)	auto	
"CO1A1_HUMAN	Collagen alpha-1(I) chain"	P02452	CO1A1_HUMAN	Collagen alpha-1(I) chain (Alpha-1 type I collagen)	COL1A1	Homo sapiens (Human)	auto	
"ALDOA_HUMAN	Fructose-bisphosphate aldolase A"	P04075	ALDOA_HUMAN	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)	ALDOA ALDA	Homo sapiens (Human)	auto	
"LEG1_HUMAN	Galectin-1"	P09382	LEG1_HUMAN	Galectin-1 (Gal-1) (14 kDa laminin-binding protein (HLBP14)) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (HBL) (HPL) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (Putative MAPK-activating protein PM12) (S-Lac lectin 1)	LGALS1	Homo sapiens (Human)	auto	
