From	Entry	Entry Name	Protein names	Gene Names	Organism	Source	Notes
"O94851	[F-actin]-monooxygenase MICAL2"	O94851	MICA2_HUMAN	[F-actin]-monooxygenase MICAL2 (EC 1.14.13.225) (MICAL C-terminal-like protein (Mical-cL)) (Molecule interacting with CasL protein 2 (MICAL-2))	MICAL2 KIAA0750 MICAL2PV1 MICAL2PV2 MICALCL	Homo sapiens (Human)	auto	
"A0A2R8Y811	40S ribosomal protein S14 (Fragment)"	A0A2R8Y811	A0A2R8Y811_HUMAN	Small ribosomal subunit protein uS11 (40S ribosomal protein S14)	RPS14	Homo sapiens (Human)	auto	
"P49588	Alanine--tRNA ligase, cytoplasmic"	P49588	SYAC_HUMAN	Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase (AlaRS)) (Protein lactyltransferase AARS1 (EC 6.-.-.-)) (Renal carcinoma antigen NY-REN-42)	AARS1 AARS	Homo sapiens (Human)	auto	
"P40222	Alpha-taxilin"	P40222	TXLNA_HUMAN	Alpha-taxilin	TXLNA TXLN	Homo sapiens (Human)	auto	
"A6NKB8	Aminopeptidase B"	A6NKB8	A6NKB8_HUMAN	Aminopeptidase B (EC 3.4.11.6) (Arginine aminopeptidase) (Arginyl aminopeptidase)	RNPEP	Homo sapiens (Human)	auto	
"Q8IWZ3	Ankyrin repeat and KH domain-containing protein 1"	Q8IWZ3	ANKH1_HUMAN	Ankyrin repeat and KH domain-containing protein 1 (HIV-1 Vpr-binding ankyrin repeat protein) (Multiple ankyrin repeats single KH domain (hMASK))	ANKHD1 KIAA1085 MASK VBARP	Homo sapiens (Human)	auto	
"O75179	Ankyrin repeat domain-containing protein 17"	O75179	ANR17_HUMAN	Ankyrin repeat domain-containing protein 17 (Gene trap ankyrin repeat protein) (Serologically defined breast cancer antigen NY-BR-16)	ANKRD17 GTAR KIAA0697	Homo sapiens (Human)	auto	
"P63010	AP-2 complex subunit beta"	P63010	AP2B1_HUMAN	AP-2 complex subunit beta (AP105B) (Adaptor protein complex AP-2 subunit beta) (Adaptor-related protein complex 2 subunit beta) (Beta-2-adaptin) (Beta-adaptin) (Clathrin assembly protein complex 2 beta large chain) (Plasma membrane adaptor HA2/AP2 adaptin beta subunit)	AP2B1 ADTB2 CLAPB1	Homo sapiens (Human)	auto	
"Q8IUR7	Armadillo repeat-containing protein 8"	Q8IUR7	ARMC8_HUMAN	Armadillo repeat-containing protein 8	ARMC8	Homo sapiens (Human)	auto	
"Q9UBB4	Ataxin-10"	Q9UBB4	ATX10_HUMAN	Ataxin-10 (Brain protein E46 homolog) (Spinocerebellar ataxia type 10 protein)	ATXN10 SCA10	Homo sapiens (Human)	auto	
"G3V325	ATP5MF-PTCD1 readthrough"	G3V325	G3V325_HUMAN	Pentatricopeptide repeat-containing protein 1, mitochondrial	ATP5MF-PTCD1	Homo sapiens (Human)	auto	
