From	Entry	Entry Name	Protein names	Gene Names	Organism	Source	Notes
"Pyruvate kinase-M	PKM"	P14618	KPYM_HUMAN	Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein (CTHBP)) (Opa-interacting protein 3 (OIP-3)) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Threonine-protein kinase PKM2 (EC 2.7.11.1)) (Thyroid hormone-binding protein 1 (THBP1)) (Tumor M2-PK) (Tyrosine-protein kinase PKM2 (EC 2.7.10.2)) (p58)	PKM OIP3 PK2 PK3 PKM2	Homo sapiens (Human)	auto	
"β-Actin	ACTB"	P60709	ACTB_HUMAN	Actin, cytoplasmic 1 (EC 3.6.4.-) (Beta-actin)	ACTB	Homo sapiens (Human)	auto	
"α-Enolase	ENO1"	P06733	ENOA_HUMAN	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase (NNE)) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	ENO1 ENO1L1 MBPB1 MPB1	Homo sapiens (Human)	auto	
"Heat shock protein HSP 90-beta	HSP90AB1"	P08238	HS90B_HUMAN	Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa (HSP 84) (HSP84)) (Heat shock protein family C member 3)	HSP90AB1 HSP90B HSPC2 HSPC3 HSPCB	Homo sapiens (Human)	auto	
"Moesin	MOES"	P26038	MOES_HUMAN	Moesin (Membrane-organizing extension spike protein)	MSN	Homo sapiens (Human)	auto	
"Transketolase	TKT"	P29401	TKT_HUMAN	Transketolase (TK) (EC 2.2.1.1)	TKT	Homo sapiens (Human)	auto	
"Actin, γ-enteric smooth muscle	ACTG2"	P63267	ACTH_HUMAN	Actin, gamma-enteric smooth muscle (EC 3.6.4.-) (Alpha-actin-3) (Gamma-2-actin) (Smooth muscle gamma-actin)	ACTG2 ACTA3 ACTL3 ACTSG	Homo sapiens (Human)	auto	
"Glucose-6-phosphate isomerase	G6PI"	P06744	G6PI_HUMAN	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor (AMF)) (D-hexose-6-phosphate anomerase) (Glucose-6-phosphate C2-epimerase (EC 5.1.3.-)) (Neuroleukin (NLK)) (Phosphoglucose isomerase (PGI)) (Phosphohexose isomerase (PHI)) (Sperm antigen 36 (SA-36))	GPI	Homo sapiens (Human)	auto	
Tubulin alpha-1A chain	Q71U36	TBA1A_HUMAN	Tubulin alpha-1A chain (EC 3.6.5.-) (Alpha-tubulin 3) (Tubulin B-alpha-1) (Tubulin alpha-3 chain)	TUBA1A TUBA3	Homo sapiens (Human)	auto	
"Heat shock protein HSP 90-alpha	HSP90AA1"	P07900	HS90A_HUMAN	Heat shock protein HSP 90-alpha (EC 3.6.4.10) (Heat shock 86 kDa (HSP 86) (HSP86)) (Heat shock protein family C member 1) (Lipopolysaccharide-associated protein 2 (LAP-2) (LPS-associated protein 2)) (Renal carcinoma antigen NY-REN-38)	HSP90AA1 HSP90A HSPC1 HSPCA	Homo sapiens (Human)	auto	
"Aldehyde dehydrogenase 16A1	A16A1"	Q8IZ83	A16A1_HUMAN	Aldehyde dehydrogenase family 16 member A1	ALDH16A1	Homo sapiens (Human)	auto	
"Glyceraldehyde-3-phosphate dehydrogenase	G3P"	P04406	G3P_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH (EC 2.6.99.-))	GAPDH GAPD	Homo sapiens (Human)	auto	
"Tropomyosin α4 chain	TPM4"	P67936	TPM4_HUMAN	Tropomyosin alpha-4 chain (TM30p1) (Tropomyosin-4)	TPM4	Homo sapiens (Human)	auto	
"14-3-3 protein beta	1433B"	P31946	1433B_HUMAN	14-3-3 protein beta/alpha (Protein 1054) (Protein kinase C inhibitor protein 1 (KCIP-1))	YWHAB	Homo sapiens (Human)	auto	
"14-3-3 protein zeta	1433Z"	P63104	1433Z_HUMAN	14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1 (KCIP-1))	YWHAZ	Homo sapiens (Human)	auto	
"Actin, cytoplasmic 2	ACTG1"	P63261	ACTG_HUMAN	Actin, cytoplasmic 2 (EC 3.6.4.-) (Gamma-actin)	ACTG1 ACTG	Homo sapiens (Human)	auto	
"Alpha-actin-1	ACTA1"	P68133	ACTS_HUMAN	Actin, alpha skeletal muscle (EC 3.6.4.-) (Alpha-actin-1)	ACTA1 ACTA	Homo sapiens (Human)	auto	
"Alpha-actin-2	ACTA2"	P62736	ACTA_HUMAN	Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein)	ACTA2 ACTSA ACTVS	Homo sapiens (Human)	auto	
"β-Actin-like protein 2	ACTBL2"	Q562R1	ACTBL_HUMAN	Beta-actin-like protein 2 (Kappa-actin)	ACTBL2	Homo sapiens (Human)	auto	
"Annexin A1	ANXA1"	P04083	ANXA1_HUMAN	Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35)	ANXA1 ANX1 LPC1	Homo sapiens (Human)	auto	
"Elongation factor 2	EEF2"	P13639	EF2_HUMAN	Elongation factor 2 (EF-2) (EC 3.6.5.-)	EEF2 EF2	Homo sapiens (Human)	auto	
"Heat shock cognate 71 kDa protein	HSPA8"	P11142	HSP7C_HUMAN	Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8) (Heat shock protein family A member 8) (Lipopolysaccharide-associated protein 1 (LAP-1) (LPS-associated protein 1))	HSPA8 HSC70 HSP73 HSPA10	Homo sapiens (Human)	auto	
"L-lactate dehydrogenase A chain	LDHA"	P00338	LDHA_HUMAN	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit (LDH-M)) (Renal carcinoma antigen NY-REN-59)	LDHA	Homo sapiens (Human)	auto	
"Phosphoglycerate kinase 1	PGK1"	P00558	PGK1_HUMAN	Phosphoglycerate kinase 1 (EC 2.7.11.1) (EC 2.7.2.3) (Cell migration-inducing gene 10 protein) (Primer recognition protein 2 (PRP 2))	PGK1 PGKA	Homo sapiens (Human)	auto	
"Protein disulfide-isomerase A3	PDIA3"	P30101	PDIA3_HUMAN	Protein disulfide-isomerase A3 (EC 5.3.4.1) (58 kDa glucose-regulated protein) (58 kDa microsomal protein (p58)) (Disulfide isomerase ER-60) (Endoplasmic reticulum resident protein 57 (ER protein 57) (ERp57)) (Endoplasmic reticulum resident protein 60 (ER protein 60) (ERp60))	PDIA3 ERP57 ERP60 GRP58	Homo sapiens (Human)	auto	
"T-complex protein 1 subunit beta	CCT2"	P78371	TCPB_HUMAN	T-complex protein 1 subunit beta (TCP-1-beta) (EC 3.6.1.-) (CCT-beta) (Chaperonin containing T-complex polypeptide 1 subunit 2)	CCT2 99D8.1 CCTB	Homo sapiens (Human)	auto	
"Thyroid autoantigen 70kDa	XRCC6"	P12956	XRCC6_HUMAN	DNA repair protein Ku70 (EC 4.2.99.18) (EC 5.6.2.4) (5'-deoxyribose-5-phosphate lyase Ku70 (5'-dRP lyase Ku70)) (70 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 1) (ATP-dependent DNA helicase II 70 kDa subunit) (CTC box-binding factor 75 kDa subunit (CTC75) (CTCBF)) (DNA repair protein XRCC6) (Lupus Ku autoantigen protein p70 (Ku70)) (Thyroid-lupus autoantigen (TLAA)) (X-ray repair complementing defective repair in Chinese hamster cells 6) (X-ray repair cross-complementing protein 6)	XRCC6 G22P1	Homo sapiens (Human)	auto	
"Tropomyosin α3 chain	TPM3"	P06753	TPM3_HUMAN	Tropomyosin alpha-3 chain (Gamma-tropomyosin) (Tropomyosin-3) (Tropomyosin-5 (hTM5))	TPM3	Homo sapiens (Human)	auto	
"14-3-3 protein gamma	1433G"	P61981	1433G_HUMAN	14-3-3 protein gamma (Protein kinase C inhibitor protein 1 (KCIP-1))	YWHAG	Homo sapiens (Human)	auto	
"40S ribosomal protein S3	RPS3"	P23396	RS3_HUMAN	Small ribosomal subunit protein uS3 (40S ribosomal protein S3 (EC 4.2.99.18))	RPS3	Homo sapiens (Human)	auto	
"78 kDa glucose-regulated protein	GRP78"	P11021	BIP_HUMAN	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein (GRP-78)) (Binding-immunoglobulin protein (BiP)) (Heat shock protein 70 family protein 5 (HSP70 family protein 5)) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein)	HSPA5 GRP78	Homo sapiens (Human)	auto	
"Aspartate aminotransferase, cytoplasmic	AATM"	P00505	AATM_HUMAN	Aspartate aminotransferase, mitochondrial (Fatty acid-binding protein) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (Transaminase A)	GOT2 KYAT4	Homo sapiens (Human)	user-reviewed	"Hint AATM is correct; the printed name ""cytoplasmic"" is the error. Sites R68/R337/R407 are all Arg in AATM and none are in AATC (N/E/E). Total arg 21 matches AATM's mature chain exactly (23 in the precursor, 2 in the 29-aa transit peptide) - the paper counts Arg on the mature protein but numbers sites on the precursor."
"Elongation factor 1-alpha 2	EEF1A2"	Q05639	EF1A2_HUMAN	Elongation factor 1-alpha 2 (EF-1-alpha-2) (EC 3.6.5.-) (Eukaryotic elongation factor 1 A-2 (eEF1A-2)) (Statin-S1)	EEF1A2 EEF1AL STN	Homo sapiens (Human)	auto	
"Ezrin	EZR"	P15311	EZRI_HUMAN	Ezrin (Cytovillin) (Villin-2) (p81)	EZR VIL2	Homo sapiens (Human)	auto	
"Inosine-5'-monophosphate dehydrogenase 2	IMPDH2"	P12268	IMDH2_HUMAN	Inosine-5'-monophosphate dehydrogenase 2 (IMP dehydrogenase 2) (IMPD 2) (IMPDH 2) (EC 1.1.1.205) (Inosine-5'-monophosphate dehydrogenase type II (IMP dehydrogenase II) (IMPDH-II))	IMPDH2 IMPD2	Homo sapiens (Human)	auto	
"L-lactate dehydrogenase B chain	LDHB"	P07195	LDHB_HUMAN	L-lactate dehydrogenase B chain (LDH-B) (EC 1.1.1.27) (LDH heart subunit (LDH-H)) (Renal carcinoma antigen NY-REN-46)	LDHB	Homo sapiens (Human)	auto	
"Proteasome subunit B5	PSMB5"	P28074	PSB5_HUMAN	Proteasome subunit beta type-5 (EC 3.4.25.1) (Macropain epsilon chain) (Multicatalytic endopeptidase complex epsilon chain) (Proteasome chain 6) (Proteasome epsilon chain) (Proteasome subunit MB1) (Proteasome subunit X) (Proteasome subunit beta-5 (beta-5))	PSMB5 LMPX MB1 X	Homo sapiens (Human)	auto	
"Ribosomal protein L5	RPL5"	P46777	RL5_HUMAN	Large ribosomal subunit protein uL18 (60S ribosomal protein L5)	RPL5	Homo sapiens (Human)	auto	
"Ribosomal protein L15	RL15"	P61313	RL15_HUMAN	Large ribosomal subunit protein eL15 (60S ribosomal protein L15)	RPL15 EC45	Homo sapiens (Human)	auto	
"T-complex protein 1 subunit delta	TPCD"	P50991	TCPD_HUMAN	T-complex protein 1 subunit delta (CCT-delta) (Chaperonin containing T-complex polypeptide 1 subunit 4) (Stimulator of TAR RNA-binding)	CCT4 CCTD SRB	Homo sapiens (Human)	user-reviewed	
"Transitional endoplasmic reticulum ATPase	VCP"	P55072	TERA_HUMAN	Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein (VCP))	VCP HEL-220 HEL-S-70	Homo sapiens (Human)	auto	
"Triosephosphate isomerase	TPI1"	P60174	TPIS_HUMAN	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase (EC 4.2.3.3)) (Triose-phosphate isomerase)	TPI1 TPI	Homo sapiens (Human)	auto	
"Tubulin beta	TUBB"	P07437	TBB5_HUMAN	Tubulin beta chain (Tubulin beta-5 chain)	TUBB TUBB5	Homo sapiens (Human)	auto	
"Tumor protein D54	TPD52L2"	O43399	TPD54_HUMAN	Tumor protein D54 (hD54) (Tumor protein D52-like 2)	TPD52L2	Homo sapiens (Human)	auto	
"14-3-3 protein epsilon	1433E"	P62258	1433E_HUMAN	14-3-3 protein epsilon (14-3-3E)	YWHAE	Homo sapiens (Human)	auto	
"14-3-3 protein eta	1433F"	Q04917	1433F_HUMAN	14-3-3 protein eta (Protein AS1)	YWHAH YWHA1	Homo sapiens (Human)	auto	
"40S ribosomal protein S7	TPD54"	P62081	RS7_HUMAN	Small ribosomal subunit protein eS7 (40S ribosomal protein S7)	RPS7	Homo sapiens (Human)	user-reviewed	
"40S ribosomal protein S8	RPS8"	P62241	RS8_HUMAN	Small ribosomal subunit protein eS8 (40S ribosomal protein S8)	RPS8	Homo sapiens (Human)	auto	
"40S ribosomal protein S19	RPS19"	P39019	RS19_HUMAN	Small ribosomal subunit protein eS19 (40S ribosomal protein S19)	RPS19	Homo sapiens (Human)	auto	
"60S ribosomal protein L7	RPL7"	P18124	RL7_HUMAN	Large ribosomal subunit protein uL30 (60S ribosomal protein L7)	RPL7	Homo sapiens (Human)	auto	
"60S ribosomal protein L23a	RPL23A"	P62750	RL23A_HUMAN	Large ribosomal subunit protein uL23 (60S ribosomal protein L23a)	RPL23A	Homo sapiens (Human)	auto	
"60S acidic ribosomal protein P0	RPLP0"	P05388	RLA0_HUMAN	Large ribosomal subunit protein uL10 (60S acidic ribosomal protein P0) (60S ribosomal protein L10E)	RPLP0	Homo sapiens (Human)	auto	
"Aconitate hydratase, mitochondrial	ACO2"	Q99798	ACON_HUMAN	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)	ACO2	Homo sapiens (Human)	auto	
"Annexin A5	ANXA5"	P08758	ANXA5_HUMAN	Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I (CPB-I)) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4 (PP4)) (Placental anticoagulant protein I (PAP-I)) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha (VAC-alpha))	ANXA5 ANX5 ENX2 PP4	Homo sapiens (Human)	auto	
"Alanine--tRNA ligase, cytoplasmic	AARS"	P49588	SYAC_HUMAN	Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase (AlaRS)) (Protein lactyltransferase AARS1 (EC 6.-.-.-)) (Renal carcinoma antigen NY-REN-42)	AARS1 AARS	Homo sapiens (Human)	auto	
"Caveolae-associated protein 1	CAVIN1"	Q6NZI2	CAVN1_HUMAN	Caveolae-associated protein 1 (Cavin-1) (Polymerase I and transcript release factor)	CAVIN1 PTRF	Homo sapiens (Human)	auto	
"Far upstream element-binding protein 2	KHSRP"	Q92945	FUBP2_HUMAN	Far upstream element-binding protein 2 (FUSE-binding protein 2) (KH type-splicing regulatory protein (KSRP)) (p75)	KHSRP FUBP2	Homo sapiens (Human)	auto	
