From	Entry	Entry Name	Protein names	Gene Names	Organism	Source	Notes
P60709	P60709	ACTB_HUMAN	Actin, cytoplasmic 1 (EC 3.6.4.-) (Beta-actin)	ACTB	Homo sapiens (Human)	auto	
ACTC1	P68032	ACTC_HUMAN	Actin, alpha cardiac muscle 1 (EC 3.6.4.-) (Alpha-cardiac actin)	ACTC1 ACTC	Homo sapiens (Human)	auto	
P63261	P63261	ACTG_HUMAN	Actin, cytoplasmic 2 (EC 3.6.4.-) (Gamma-actin)	ACTG1 ACTG	Homo sapiens (Human)	auto	
P61160	P61160	ARP2_HUMAN	Actin-related protein 2 (Actin-like protein 2)	ACTR2 ARP2	Homo sapiens (Human)	auto	
ALMS1	Q8TCU4	ALMS1_HUMAN	Centrosome-associated protein ALMS1 (Alstrom syndrome protein 1)	ALMS1 KIAA0328	Homo sapiens (Human)	auto	
Q9Y4X0	Q9Y4X0	AMMR1_HUMAN	Nuclear protein AMMECR1 (AMME syndrome candidate gene 1 protein)	AMMECR1	Homo sapiens (Human)	auto	
Q6NSI1	Q6NSI1	AR26L_HUMAN	Putative ankyrin repeat domain-containing protein 26-like protein	ANKRD26P1	Homo sapiens (Human)	auto	
A5PLL1	A5PLL1	AN34B_HUMAN	Ankyrin repeat domain-containing protein 34B	ANKRD34B	Homo sapiens (Human)	auto	
P07355	P07355	ANXA2_HUMAN	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV (PAP-IV)) (Protein I) (p36)	ANXA2 ANX2 ANX2L4 CAL1H LPC2D	Homo sapiens (Human)	auto	
AP3D1	O14617	AP3D1_HUMAN	AP-3 complex subunit delta-1 (AP-3 complex subunit delta) (Adaptor-related protein complex 3 subunit delta-1) (Delta-adaptin)	AP3D1	Homo sapiens (Human)	auto	
Q8NCL9	Q8NCL9	APCDL_HUMAN	Protein APCDD1-like (Adenomatosis polyposis coli down-regulated 1 protein-like)	APCDD1L	Homo sapiens (Human)	auto	
APEX1	P27695	APEX1_HUMAN	DNA repair nuclease/redox regulator APEX1 (EC 3.1.11.2) (EC 3.1.21.-) (APEX nuclease (APEN)) (Apurinic-apyrimidinic endonuclease 1 (AP endonuclease 1) (APE-1)) (DNA-(apurinic or apyrimidinic site) endonuclease) (Redox factor-1 (REF-1))	APEX1 APE APE1 APEX APX HAP1 REF1	Homo sapiens (Human)	auto	
P52566	P52566	GDIR2_HUMAN	Rho GDP-dissociation inhibitor 2 (Rho GDI 2) (Ly-GDI) (Rho-GDI beta)	ARHGDIB GDIA2 GDID4 RAP1GN1	Homo sapiens (Human)	auto	
ASH1L	Q9NR48	ASH1L_HUMAN	Histone-lysine N-methyltransferase ASH1L (EC 2.1.1.359) (EC 2.1.1.367) (ASH1-like protein (huASH1)) (Absent small and homeotic disks protein 1 homolog) (Lysine N-methyltransferase 2H)	ASH1L KIAA1420 KMT2H	Homo sapiens (Human)	auto	
ASIC4	Q96FT7	ASIC4_HUMAN	Acid-sensing ion channel 4 (ASIC4) (Amiloride-sensitive cation channel 4) (Amiloride-sensitive cation channel 4, pituitary)	ASIC4 ACCN4	Homo sapiens (Human)	auto	
ASS1	P00966	ASSY_HUMAN	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	ASS1 ASS	Homo sapiens (Human)	auto	
ATIC	P31939	PUR9_HUMAN	Bifunctional purine biosynthesis protein ATIC (AICAR transformylase/inosine monophosphate cyclohydrolase (ATIC))	ATIC PURH	Homo sapiens (Human)	auto	
ATP4A	P20648	ATP4A_HUMAN	Potassium-transporting ATPase alpha chain 1 (EC 7.2.2.19) (Gastric H(+)/K(+) ATPase subunit alpha) (Proton pump)	ATP4A	Homo sapiens (Human)	auto	
BARHL2	Q9NY43	BARH2_HUMAN	BarH-like 2 homeobox protein	BARHL2	Homo sapiens (Human)	auto	
Q9Y2F9	Q9Y2F9	BTBD3_HUMAN	BTB/POZ domain-containing protein 3	BTBD3 KIAA0952	Homo sapiens (Human)	auto	
Q13938	Q13938	CAYP1_HUMAN	Calcyphosin (Calcyphosine)	CAPS	Homo sapiens (Human)	auto	
CARD10	Q9BWT7	CAR10_HUMAN	Caspase recruitment domain-containing protein 10 (CARD-containing MAGUK protein 3 (Carma 3))	CARD10 CARMA3	Homo sapiens (Human)	auto	
Q9Y2V2	Q9Y2V2	CHSP1_HUMAN	Calcium-regulated heat-stable protein 1 (Calcium-regulated heat-stable protein of 24 kDa (CRHSP-24))	CARHSP1	Homo sapiens (Human)	auto	
P16152	P16152	CBR1_HUMAN	Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (15-hydroxyprostaglandin dehydrogenase [NADP(+)] (EC 1.1.1.196) (EC 1.1.1.197)) (20-beta-hydroxysteroid dehydrogenase) (Alcohol dehydrogenase [NAD(P)+] CBR1 (EC 1.1.1.71)) (NADPH-dependent carbonyl reductase 1) (Prostaglandin 9-ketoreductase (PG-9-KR)) (Prostaglandin-E(2) 9-reductase (EC 1.1.1.189)) (Short chain dehydrogenase/reductase family 21C member 1)	CBR1 CBR CRN SDR21C1	Homo sapiens (Human)	auto	
