Entry	Entry Name	Gene	Gene Names	Protein names	Reviewed	Ribosomal	RP Gene	RP Nomenclature	RP Subunit	Evidence	N studies	N datasets	Studies	Cell lines	Systems	Datasets	Accessions	Source labels	Caveats	Notes
P13639	EF2_HUMAN	EEF2	EEF2 EF2	Elongation factor 2	yes					both	5	6	Alhujaily 2021; Ashour 2020; Donnellan 2022; Irshad 2019; Zheng 2024	HEK293; PDLF primary; WIL2-NS; HMEC-1; SH-SY5Y	in-cell, 131 uM MG 6 h; cell-free lysate + MG; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG; in-cell, 0-1000 uM MGO	alhujaily-2021-hek293; ashour-2020-cellfree; donnellan-2022-wil2ns; irshad-2019-hmec1; zheng-2024-shsy5y-fig4; zheng-2024-shsy5y	P13639	EEF2 | Elongation factor 2; EF2_HUMAN | Elongation factor 2; P13639 | Elongation factor 2; Elongation factor 2 | EEF2; P13639	alhujaily-2021-hek293: supplement covers ~21% of the 681 reported; zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P00338	LDHA_HUMAN	LDHA	LDHA	L-lactate dehydrogenase A chain (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (Renal carcinoma antigen NY-REN-59)	yes					both	5	5	Alhujaily 2021; Ashour 2020; Donnellan 2022; Irshad 2019; Zheng 2024	HEK293; PDLF primary; WIL2-NS; HMEC-1; SH-SY5Y	in-cell, 131 uM MG 6 h; cell-free lysate + MG; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG; in-cell, 0-1000 uM MGO	alhujaily-2021-hek293; ashour-2020-cellfree; donnellan-2022-wil2ns; irshad-2019-hmec1; zheng-2024-shsy5y-fig4	P00338	LDHA | L-lactate dehydrogenase A chain; LDHA_HUMAN | L-lactate dehydrogenase A; P00338 | L-lactate dehydrogenase A chain; L-lactate dehydrogenase A chain | LDHA; LDHA	alhujaily-2021-hek293: supplement covers ~21% of the 681 reported; zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P11142	HSP7C_HUMAN	HSPA8	HSPA8 HSC70 HSP73 HSPA10	Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8) (Heat shock protein family A member 8) (Lipopolysaccharide-associated protein 1)	yes					both	5	5	Alhujaily 2021; Ashour 2020; Donnellan 2022; Irshad 2019; Zheng 2024	HEK293; PDLF primary; WIL2-NS; HMEC-1; SH-SY5Y	in-cell, 131 uM MG 6 h; cell-free lysate + MG; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG; in-cell, 0-1000 uM MGO	alhujaily-2021-hek293; ashour-2020-cellfree; donnellan-2022-wil2ns; irshad-2019-hmec1; zheng-2024-shsy5y-fig4	P11142; E9PM13	HSPA8 | Heat shock protein family A member 8; HSP7C_HUMAN | Heat shock cognate 71 kDa protein; E9PM13 | Heat shock cognate 71 kDa protein (Fragment); P11142 | Heat shock cognate 71 kDa protein; Heat shock cognate 71 kDa protein | HSPA8; HSPA8	alhujaily-2021-hek293: supplement covers ~21% of the 681 reported; zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P60709	ACTB_HUMAN	ACTB	ACTB	Actin, cytoplasmic 1 (Beta-actin)	yes					both	4	6	Ashour 2020; Donnellan 2022; Irshad 2019; Zheng 2024	PDLF primary; PBL, 3 donors; WIL2-NS; HMEC-1; SH-SY5Y	in-cell, endogenous; ex vivo, basal; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG; in-cell, 0-1000 uM MGO	ashour-2020-incell; donnellan-2022-pbl; donnellan-2022-wil2ns; irshad-2019-hmec1; zheng-2024-shsy5y-fig4; zheng-2024-shsy5y	P60709; A0A2R8Y793	beta-actin | ACTB; A0A2R8Y793 | Actin, cytoplasmic 1 (Fragment); P60709 | Actin, cytoplasmic 1; β-Actin | ACTB; P60709; P60709 | Actin, cytoplasmic 1, N-terminally processed	ashour-2020-incell: from main-text prose; donnellan-2022-pbl: primary cells, ex vivo; zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P63261	ACTG_HUMAN	ACTG1	ACTG1 ACTG	Actin, cytoplasmic 2 (Gamma-actin)	yes					both	4	6	Ashour 2020; Donnellan 2022; Irshad 2019; Zheng 2024	PDLF primary; WIL2-NS; HMEC-1; SH-SY5Y	cell-free lysate + MG; in-cell, endogenous; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG; in-cell, 0-1000 uM MGO	ashour-2020-cellfree; ashour-2020-incell; donnellan-2022-wil2ns; irshad-2019-hmec1; zheng-2024-shsy5y-fig4; zheng-2024-shsy5y	P63261; K7EM38	ACTG_HUMAN | Actin, cytoplasmic 2; gamma-actin | ACTG1; K7EM38 | Actin, cytoplasmic 2 (Fragment); Actin, cytoplasmic 2 | ACTG1; P63261; P63261 | Actin, cytoplasmic 2, N-terminally processed	ashour-2020-incell: from main-text prose; zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P04406	G3P_HUMAN	GAPDH	GAPDH GAPD	Glyceraldehyde-3-phosphate dehydrogenase (Peptidyl-cysteine S-nitrosylase GAPDH)	yes					both	4	5	Ashour 2020; Donnellan 2022; Irshad 2019; Zheng 2024	PDLF primary; Caov3 parental; WIL2-NS; HMEC-1; SH-SY5Y	cell-free lysate + MG; in-cell, basal; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG; in-cell, 0-1000 uM MGO	ashour-2020-cellfree; donnellan-2022-caov3; donnellan-2022-wil2ns; irshad-2019-hmec1; zheng-2024-shsy5y-fig4	P04406	G3P_HUMAN | Glyceraldehyde-3-phosphate dehydrogenase; P04406 | Glyceraldehyde-3-phosphate dehydrogenase; Glyceraldehyde-3-phosphate dehydrogenase | G3P; GAPDH	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P08670	VIME_HUMAN	VIM	VIM	Vimentin	yes					both	4	5	Ashour 2020; Donnellan 2022; Irshad 2019; Zheng 2024	PDLF primary; WIL2-NS; HMEC-1; SH-SY5Y	cell-free lysate + MG; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG; in-cell, 0-1000 uM MGO	ashour-2020-cellfree; donnellan-2022-wil2ns; irshad-2019-hmec1; zheng-2024-shsy5y-fig4; zheng-2024-shsy5y	P08670	VIME_HUMAN | Vimentin; P08670 | Vimentin; Vimentin | VIM; P08670	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P14618	KPYM_HUMAN	PKM	PKM OIP3 PK2 PK3 PKM2	Pyruvate kinase PKM (Cytosolic thyroid hormone-binding protein) (Opa-interacting protein 3) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Threonine-protein kinase PKM2) (Thyroid hormone-binding protein 1) (Tumor M2-PK) (Tyrosine-protein kinase PKM2) (p58)	yes					both	4	4	Ashour 2020; Donnellan 2022; Irshad 2019; Zheng 2024	PDLF primary; WIL2-NS; HMEC-1; SH-SY5Y	cell-free lysate + MG; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG; in-cell, 0-1000 uM MGO	ashour-2020-cellfree; donnellan-2022-wil2ns; irshad-2019-hmec1; zheng-2024-shsy5y-fig4	P14618	KPYM_HUMAN | Pyruvate kinase PKM; P14618 | Isoform M1 of Pyruvate kinase PKM; P14618 | Pyruvate kinase PKM; Pyruvate kinase-M | PKM; PKM	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P26038	MOES_HUMAN	MSN	MSN	Moesin (Membrane-organizing extension spike protein)	yes					both	4	4	Ashour 2020; Donnellan 2022; Irshad 2019; Zheng 2024	PDLF primary; WIL2-NS; HMEC-1; SH-SY5Y	cell-free lysate + MG; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG; in-cell, 0-1000 uM MGO	ashour-2020-cellfree; donnellan-2022-wil2ns; irshad-2019-hmec1; zheng-2024-shsy5y-fig4	P26038	MOES_HUMAN | Moesin; P26038 | Moesin; Moesin | MOES; MSN	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P04075	ALDOA_HUMAN	ALDOA	ALDOA ALDA	Fructose-bisphosphate aldolase A (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)	yes					both	3	5	Ashour 2020; Donnellan 2022; Irshad 2019	PDLF primary; Caov3 parental; PBL, 3 donors; WIL2-NS; HMEC-1	cell-free lysate + MG; in-cell, basal; ex vivo, basal; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG	ashour-2020-cellfree; donnellan-2022-caov3; donnellan-2022-pbl; donnellan-2022-wil2ns; irshad-2019-hmec1	P04075	ALDOA_HUMAN | Fructose-bisphosphate aldolase A; P04075 | Fructose-bisphosphate aldolase A; P04075 | Isoform 2 of Fructose-bisphosphate aldolase A; Fructose-bisphosphate aldolase A | ALDOA	donnellan-2022-pbl: primary cells, ex vivo	
