# COMPREHENSIVE HUMAN CYTOPLASMIC RIBOSOMAL PROTEINS
# Total: 85 proteins
#
# Gene_Symbol | Unified_Name | UniProt_ID | Protein_Name | Subunit

## SMALL SUBUNIT (40S) - 35 proteins

RACK1        | RACK1          | P63244     | Small ribosomal subunit protein RACK1                        | 40S
RPS10        | eS10           | P46783     | Small ribosomal subunit protein eS10                         | 40S
RPS11        | uS17           | P62280     | Small ribosomal subunit protein uS17                         | 40S
RPS12        | eS12           | P25398     | Small ribosomal subunit protein eS12                         | 40S
RPS13        | uS15           | P62277     | Small ribosomal subunit protein uS15                         | 40S
RPS14        | uS11           | P62263     | Small ribosomal subunit protein uS11                         | 40S
RPS15        | uS19           | P62841     | Small ribosomal subunit protein uS19                         | 40S
RPS15A       | uS8            | P62244     | Small ribosomal subunit protein uS8                          | 40S
RPS16        | uS9            | P62249     | Small ribosomal subunit protein uS9                          | 40S
RPS17        | eS17           | P08708     | Small ribosomal subunit protein eS17                         | 40S
RPS18        | uS13           | P62269     | Small ribosomal subunit protein uS13                         | 40S
RPS19        | eS19           | P39019     | Small ribosomal subunit protein eS19                         | 40S
RPS2         | uS5            | P15880     | Small ribosomal subunit protein uS5                          | 40S
RPS20        | uS10           | P60866     | Small ribosomal subunit protein uS10                         | 40S
RPS21        | eS21           | P63220     | Small ribosomal subunit protein eS21                         | 40S
RPS23        | uS12           | P62266     | Small ribosomal subunit protein uS12                         | 40S
RPS24        | eS24           | P62847     | Small ribosomal subunit protein eS24                         | 40S
RPS25        | eS25           | P62851     | Small ribosomal subunit protein eS25                         | 40S
RPS26        | eS26           | P62854     | Small ribosomal subunit protein eS26                         | 40S
RPS27        | eS27           | P42677     | Small ribosomal subunit protein eS27                         | 40S
RPS27A       | eS31           | P62979     | Ubiquitin-ribosomal protein eS31 fusion protein              | 40S
RPS28        | eS28           | P62857     | Small ribosomal subunit protein eS28                         | 40S
RPS29        | uS14           | P62273     | Small ribosomal subunit protein uS14                         | 40S
RPS3         | uS3            | P23396     | Small ribosomal subunit protein uS3                          | 40S
RPS30        | eS30           | P62861     | Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein (FAU gene) | 40S
RPS3A        | eS1            | P61247     | Small ribosomal subunit protein eS1                          | 40S
RPS4X        | eS4            | P62701     | Small ribosomal subunit protein eS4, X isoform               | 40S
RPS4Y1       | eS4            | P22090     | Small ribosomal subunit protein eS4, Y isoform 1             | 40S
RPS4Y2       | eS4            | Q8TD47     | Small ribosomal subunit protein eS4, Y isoform 2             | 40S
RPS5         | uS7            | P46782     | Small ribosomal subunit protein uS7                          | 40S
RPS6         | eS6            | P62753     | Small ribosomal subunit protein eS6                          | 40S
