From	Assigned by user	Assigned by user	Status	Notes
"C19orf68	Uncharacterized protein C19orf68"	Q86XI8	ZSWM9_HUMAN	reviewed	
"LOC105372343	Uncharacterized protein"			drop	UPI0005D03181
"RBM22	Heat shock protein family A member 1B"	Q9NW64	RBM22_HUMAN	reviewed	
"U2AF1L5	Splicing factor U2AF 35 kDa subunit-like protein"	A0A1B0GW87	A0A1B0GW87_HUMAN	reviewed	
Carbohydrate-response element-binding protein (Mondo A)	Q9NP71	MLXPL_HUMAN	reviewed	
Mitochondrial 3-ketoacyl-CoA thiolase	P42765	THIM_HUMAN	reviewed	
Diphthamide biosynthesis protein-1	Q9BZG8	DPH1_HUMAN	reviewed	
Mitochondrial enoyl-CoA hydratase	P30084	ECHM_HUMAN	reviewed	
Scaffold attachment factor	Q14151	SAFB2_HUMAN	reviewed	
Metastasis suppressor protein-1	Q13330	MTA1_HUMAN	reviewed	
