Pyruvate kinase-M	PKM
β-Actin	ACTB
α-Enolase	ENO1
Heat shock protein HSP 90-beta	HSP90AB1
Moesin	MOES
Transketolase	TKT
Actin, γ-enteric smooth muscle	ACTG2
Glucose-6-phosphate isomerase	G6PI
Tubulin alpha-1A chain
Heat shock protein HSP 90-alpha	HSP90AA1
Aldehyde dehydrogenase 16A1	A16A1
Glyceraldehyde-3-phosphate dehydrogenase	G3P
Tropomyosin α4 chain	TPM4
14-3-3 protein beta	1433B
14-3-3 protein zeta	1433Z
Actin, cytoplasmic 2	ACTG1
Alpha-actin-1	ACTA1
Alpha-actin-2	ACTA2
β-Actin-like protein 2	ACTBL2
Annexin A1	ANXA1
Elongation factor 2	EEF2
Heat shock cognate 71 kDa protein	HSPA8
L-lactate dehydrogenase A chain	LDHA
Phosphoglycerate kinase 1	PGK1
Protein disulfide-isomerase A3	PDIA3
T-complex protein 1 subunit beta	CCT2
Thyroid autoantigen 70kDa	XRCC6
Tropomyosin α3 chain	TPM3
14-3-3 protein gamma	1433G
40S ribosomal protein S3	RPS3
78 kDa glucose-regulated protein	GRP78
Aspartate aminotransferase, cytoplasmic	AATM
Elongation factor 1-alpha 2	EEF1A2
Ezrin	EZR
Inosine-5'-monophosphate dehydrogenase 2	IMPDH2
L-lactate dehydrogenase B chain	LDHB
Proteasome subunit B5	PSMB5
Ribosomal protein L5	RPL5
Ribosomal protein L15	RL15
T-complex protein 1 subunit delta	TPCD
Transitional endoplasmic reticulum ATPase	VCP
Triosephosphate isomerase	TPI1
Tubulin beta	TUBB
Tumor protein D54	TPD52L2
14-3-3 protein epsilon	1433E
14-3-3 protein eta	1433F
40S ribosomal protein S7	TPD54
40S ribosomal protein S8	RPS8
40S ribosomal protein S19	RPS19
60S ribosomal protein L7	RPL7
60S ribosomal protein L23a	RPL23A
60S acidic ribosomal protein P0	RPLP0
Aconitate hydratase, mitochondrial	ACO2
Annexin A5	ANXA5
Alanine--tRNA ligase, cytoplasmic	AARS
Caveolae-associated protein 1	CAVIN1
Far upstream element-binding protein 2	KHSRP
Filamin A	FLNA
GTP-binding nuclear protein Ran	RAN
Heat shock protein 70 kDa 1A	HSP71A
Heterogeneous nuclear ribonucleoproteins C	HNRPC
Endoplasmin	HSP90B1
Nucleolin	NCL
Peroxiredoxin-1	PRDX1
Peroxiredoxin-5	PRDX5
Peroxiredoxin-6	PRDX6
Proteasome subunit A3	PSMA3
Proteasome subunit A7	PSMA7
Protein disulfide-isomerase A1	PDIA1
Protein disulfide-isomerase A3	PDIA3
Protein disulfide-isomerase A4	PDIA4
Rho GDP-dissociation inhibitor 2	ARHGD1B
Ribose-phosphate pyrophosphokinase 2	PRPS2
Ribosomal protein L19	RPL19
Serine hydroxymethyltransferase	GLYC
SH3 domain-binding protein 5-like	SH3BP5L
Stress-70 protein, mitochondrial	HSPA9
Stress-induced-phosphoprotein 1	STIP1
T-complex protein 1 subunit theta	TPCQ
Transglutaminase-2	TGM2
TubulinTubulin alpha-1C chain	TUBA1C
Vimentin	VIM
WD repeat-containing protein 1	WDR1
10 kDa heat shock protein, mitochondrial	HSPE1
40S Ribosomal protein S2	RPS2
40S ribosomal protein S3a	RPS3A
40S ribosomal protein S4
40S ribosomal protein S6	RPS6
40S ribosomal protein S9	RPS9
40S ribosomal protein S10	RPS10
40S ribosomal protein S11	RPS11
40S ribosomal protein S18	RPS18
40S ribosomal protein S27	RPS27
