From accession	From entry name	Gene used	To accession	To entry name	Outcome
A0A024R4E5	A0A024R4E5_HUMAN	HDLBP	Q00341	VIGLN_HUMAN	canonicalised
A0A087WT57	A0A087WT57_HUMAN				kept: no gene name
A0A087WWE7	A0A087WWE7_HUMAN	RBIS	Q8N0T1	RBIS_HUMAN	canonicalised
A0A087WYR0	A0A087WYR0_HUMAN	SRP19	P09132	SRP19_HUMAN	canonicalised
A0A087X2I1	A0A087X2I1_HUMAN	PSMC6	P62333	PRS10_HUMAN	canonicalised
A0A096LP69	A0A096LP69_HUMAN	CD99	P14209	CD99_HUMAN	canonicalised
A0A0A0MQX8	A0A0A0MQX8_HUMAN	MBNL1	Q9NR56	MBNL1_HUMAN	canonicalised
A0A0A0MSL1	A0A0A0MSL1_HUMAN	DLG5	Q8TDM6	DLG5_HUMAN	canonicalised
A0A0A0MTH3	A0A0A0MTH3_HUMAN	ILK	Q13418	ILK_HUMAN	canonicalised
A0A0A0MTR7	A0A0A0MTR7_HUMAN	RNF213	Q63HN8	RN213_HUMAN	canonicalised
A0A0C4DFM0	A0A0C4DFM0_HUMAN	GSTZ1	O43708	MAAI_HUMAN	canonicalised
A0A0C4DGA2	A0A0C4DGA2_HUMAN	ECI2	O75521	ECI2_HUMAN	canonicalised
A0A0C4DGG1	A0A0C4DGG1_HUMAN	PACSIN3	Q9UKS6	PACN3_HUMAN	canonicalised
A0A0G2JNZ7	A0A0G2JNZ7_HUMAN	DDR1	Q08345	DDR1_HUMAN	canonicalised
A0A0J9YW50	A0A0J9YW50_HUMAN	MYO15B	Q96JP2	MY15B_HUMAN	canonicalised
A0A0X1KG73	A0A0X1KG73_HUMAN	RYR3	Q15413	RYR3_HUMAN	canonicalised
A0A140T913	A0A140T913_HUMAN	HLA-A	P04439	HLAA_HUMAN	canonicalised
A0A140T958	A0A140T958_HUMAN	HLA-DRB1	P01911	DRB1_HUMAN	canonicalised
A0A140T9I0	A0A140T9I0_HUMAN	HLA-A	P04439	HLAA_HUMAN	canonicalised
A0A1B0GUM4	A0A1B0GUM4_HUMAN	CDKL5	O76039	CDKL5_HUMAN	canonicalised
A0A1B0GUS7	A0A1B0GUS7_HUMAN	UNC13B	O14795	UN13B_HUMAN	canonicalised
A0A1B0GW87	A0A1B0GW87_HUMAN	U2AF1	Q01081	U2AF1_HUMAN	canonicalised
A0A2R8Y5H9	A0A2R8Y5H9_HUMAN	KSR1	Q8IVT5	KSR1_HUMAN	canonicalised
A0A2R8Y5P7	A0A2R8Y5P7_HUMAN	HARS2			kept: 2 reviewed entries for this gene
