VIME_HUMAN	Vimentin
BIP_HUMAN	Endoplasmic reticulum chaperone BiP
ENPL_HUMAN	Endoplasmin
LMNA_HUMAN	Prelamin-A/C
PLEC_HUMAN	Plectin
CKAP4_HUMAN	Cytoskeleton-associated protein 4
GRP75_HUMAN	Stress-70 protein, mitochondrial
ACTG_HUMAN	Actin, cytoplasmic 2
ACTN4_HUMAN	Alpha-actinin-4
AHNK_HUMAN	Neuroblast differentiation- associated protein AHNAK
PDIA1_HUMAN	Protein disulfide-isomerase
ANXA6_HUMAN	Annexin A6
MOES_HUMAN	Moesin
PDIA4_HUMAN	Protein disulfide-isomerase A4
FLNA_HUMAN	Filamin-A
HSP7C_HUMAN	Heat shock cognate 71 kDa protein
PDIA6_HUMAN	Protein disulfide-isomerase A6
CH10_HUMAN	10 kDa heat shock protein, mitochondrial
1433Z_HUMAN	14-3-3 protein zeta/delta
ANXA1_HUMAN	Annexin A1
ANXA5_HUMAN	Annexin A5
CALR_HUMAN	Calreticulin
CISY_HUMAN	Citrate synthase
CO1A1_HUMAN	Collagen alpha-1(I) chain
ALDOA_HUMAN	Fructose-bisphosphate aldolase A
LEG1_HUMAN	Galectin-1
GLU2B_HUMAN	Glucosidase 2 subunit beta
DHE3_HUMAN	Glutamate dehydrogenase 1, mitochondrial
HNRPQ_HUMAN	Heterogeneous nuclear ribonucleoprotein Q
ROA1_HUMAN	Isoform 2 of Heterogeneous nuclear ribonucleoprotein A1
PLIN3_HUMAN	Isoform 4 of Perilipin-3
PGK1_HUMAN	Phosphoglycerate kinase 1
PDIA3_HUMAN	Protein disulfide-isomerase A3
RRBP1_HUMAN	Ribosome-binding protein 1
TPM4_HUMAN	Tropomyosin alpha-4 chain
VINC_HUMAN	Vinculin
VDAC1_HUMAN	Voltage-dependent anion- selective channel protein 1
6PGD_HUMAN	6-phosphogluconate dehydrogenase, decarboxylating
CH60_HUMAN	60 kDa heat shock protein, mitochondrial
ACON_HUMAN	Aconitate hydratase, mitochondrial
ANXA4_HUMAN	Annexin A4
CALM3_HUMAN	Calmodulin
EF2_HUMAN	Elongation factor 2
ERP44_HUMAN	Endoplasmic reticulum resident protein 44
G6PI_HUMAN	Glucose-6-phosphate isomerase (Fragment)
HS90B_HUMAN	Heat shock protein HSP 90- beta
ROA2_HUMAN	Heterogeneous nuclear ribonucleoproteins A2/B1
IKIP_HUMAN	Isoform 4 of Inhibitor of nuclear factor kappa-B kinase- interacting protein
LDHB_HUMAN	L-lactate dehydrogenase B chain
MDHM_HUMAN	Malate dehydrogenase, mitochondrial
PGRC2_HUMAN	Membrane-associated progesterone receptor component 2
MAP1B_HUMAN	Microtubule-associated protein 1B
NB5R3_HUMAN	NADH-cytochrome b5 reductase 3
NUCL_HUMAN	Nucleolin
PPIB_HUMAN	Peptidyl-prolyl cis-trans isomerase B
P4HA1_HUMAN	Prolyl 4-hydroxylase subunit alpha-1
S10AB_HUMAN	Protein S100-A11
S10A6_HUMAN	Protein S100-A6
RCN1_HUMAN	Reticulocalbin-1
SH3L3_HUMAN	SH3 domain-binding glutamic acid-rich-like protein 3
STIP1_HUMAN	Stress-induced-phosphoprotein 1
TLN1_HUMAN	Talin-1
TAGL_HUMAN	Transgelin
TMEDA_HUMAN	Transmembrane emp24 domain-containing protein 10
1433E_HUMAN	14-3-3 protein epsilon
PSMD7_HUMAN	26S proteasome non-ATPase regulatory subunit 7
RS17_HUMAN	40S ribosomal protein S17
RS28_HUMAN	40S ribosomal protein S28
RLA2_HUMAN	60S acidic ribosomal protein P2
ACBP_HUMAN	Acyl-CoA-binding protein
KAD2_HUMAN	Adenylate kinase 2, mitochondrial
CAP1_HUMAN	Adenylyl cyclase-associated protein 1
ACTN1_HUMAN	Alpha-actinin-1
ENOA_HUMAN	Alpha-enolase
ANX11_HUMAN	Annexin A11
ANXA2_HUMAN	Annexin A2
KI67_HUMAN	Proliferation marker protein Ki- 67
ACINU_HUMAN	Apoptotic chromatin condensation inducer in the nucleus
ATPA_HUMAN	ATP synthase subunit alpha, mitochondrial
ATPB_HUMAN	ATP synthase subunit beta, mitochondrial
CALD1_HUMAN	Caldesmon (Fragment)
CNN2_HUMAN	Calponin-2
CAPZB_HUMAN	Capping protein (Actin filament) muscle Z-line, beta, isoform CRA_a
CTNA1_HUMAN	Catenin alpha-1
CAVN1_HUMAN	Polymerase I and transcript release factor
CD99_HUMAN	CD99 antigen
CLIC1_HUMAN	Chloride intracellular channel protein 1
COTL1_HUMAN	Coactosin-like protein
COF1_HUMAN	Cofilin-1
CO1A2_HUMAN	Collagen alpha-2(I) chain
CO6A2_HUMAN	Collagen alpha-2(VI) chain
CO6A3_HUMAN	Collagen alpha-3(VI) chain
