Title,DOI,PMID,Authors,Organism,Object
"Comprehensive Identification of Glycated Peptides and Their Glycation Motifs in Plasma and Erythrocytes of Control and Diabetic Subjects",10.1021/pr200040j,21612289,Zhang et al.,Homo sapiens,"Plasma; Erythrocytes"
"Comprehensive Analysis of Protein Glycation Reveals Its Potential Impacts on Protein Degradation and Gene Expression in Human Cells",10.1007/s13361-019-02197-4,31073893,Cheng et al.,Homo sapiens,"HEK293T; Jurkat; MCF7"
"Proteomic Profiling of Nonenzymatically Glycated Proteins in Human Plasma and Erythrocyte Membranes",10.1021/pr700763r,18396901,Zhang et al.,Homo sapiens,"Plasma; Erythrocyte membranes"
"Proteomic Analysis of Methylglyoxal Modifications Reveals Susceptibility of Glycolytic Enzymes to Dicarbonyl Stress",10.3390/ijms23073689,35409048,Wiese et al.,Homo sapiens,"Blood; WIL2-NS B lymphoblastoid; epithelial cell lines; peripheral blood lymphocytes"
"Methylglyoxal-induced dicarbonyl stress in endothelial cells",10.1038/s41598-019-44358-1,31133647,Schumacher et al.,Homo sapiens,"Endothelium; HAEC (human aortal endothelial cells); HMEC-1"
"Profiling of Methylglyoxal Blood Metabolism and Advanced Glycation End-Product Proteome Using a Chemical Probe",10.1021/acschembio.8b00732,N/A,Hellwig et al.,Homo sapiens,"Blood; Plasma; Erythrocytes"
"Mass spectrometric determination of early and advanced glycation in biology",10.1007/s10719-016-9709-8,27438287,Rabbani et al.,Homo sapiens; Various,Various
"Methylglyoxal glyoxalase 1 and the dicarbonyl proteome",10.1007/s00726-010-0783-0,20963454,Rabbani et al.,Various,Various
"Global proteomic analysis of advanced glycation end products in the Arabidopsis proteome provides evidence for age-related glycation hot spots",10.1074/jbc.M117.794537,28611063,Bilova et al.,Arabidopsis thaliana,Leaf
"A Snapshot of the Plant Glycated Proteome: STRUCTURAL FUNCTIONAL AND MECHANISTIC ASPECTS",10.1074/jbc.M115.678581,26786108,Bilova et al.,"Brassica napus; Arabidopsis thaliana",Leaf
"Profiling of advanced glycation end products uncovers abiotic stress-specific target proteins in Arabidopsis",10.1093/jxb/erw395,N/A,Bechtold et al.,Arabidopsis thaliana,Leaf
"Proteomics-based identification of biomarkers reflecting endogenous and exogenous exposure to the advanced glycation end product precursor methylglyoxal in SH-SY5Y human neuroblastoma cells",10.1016/j.ijbiomac.2024.132859,38838889,Brings et al.,Homo sapiens,"Brain; SH-SY5Y neuroblastoma"
"Proteomic analysis of glycated proteins from streptozotocin-induced diabetic rat kidney",10.1007/s12033-011-9409-3,21516357,Li et al.,Rattus norvegicus,Kidney
"Characterization of the glycated human cerebrospinal fluid proteome",10.1021/acs.jproteome.6b00464,27425404,Ahmed et al.,Homo sapiens,Cerebrospinal fluid
"Improved methods for the enrichment and analysis of glycated peptides",10.1021/ac801704j,18989935,Zhang et al.,Homo sapiens,Plasma
"Enrichment and Analysis of Non-enzymatically Glycated Peptides: Boronate Affinity Chromatography Coupled with Electron Transfer Dissociation Mass Spectrometry",10.1021/pr070112q,17488106,Zhang et al.,Homo sapiens,Serum
"Quantitative Analysis of Glycated Proteins",10.1021/pr4000398,N/A,Zhang et al.,Homo sapiens,"Plasma; Red blood cells"
"Glycated proteome: from reaction to intervention",N/A,23184864,Thornalley et al.,Homo sapiens,"Plasma; Kidney; Lens; Brain"
"Glycation profile of minor abundant erythrocyte proteome across varying glycemic index in diabetes mellitus",10.1016/j.ab.2019.01.012,N/A,Kerketta et al.,Homo sapiens,Erythrocytes
"Decreased methylglyoxal-mediated protein glycation in the healthy aging mouse model of ectopic expression of UCP1 in skeletal muscle",10.1016/j.redox.2022.102558,N/A,Baris et al.,Mus musculus,Skeletal muscle
"Osmotic stress is accompanied by protein glycation in Arabidopsis thaliana",10.1093/jxb/erw395,27856706,Bechtold et al.,Arabidopsis thaliana,Leaf
"Yeast protein glycation in vivo by methylglyoxal. Molecular modification of glycolytic enzymes and heat shock proteins",10.1016/j.bbapap.2007.03.017,N/A,Takatsume et al.,Saccharomyces cerevisiae,Whole cell
"Distribution of advanced glycation end products in the cerebellar neurons of dogs",10.1016/S0006-8993(97)01421-2,N/A,Miyazaki et al.,Canis familiaris,Brain (cerebellum)
"Protein glycation in diabetes mellitus",10.1016/bs.acc.2022.11.003,36858645,Rabbani et al.,Homo sapiens,Various
"Role of Glycated Proteins in the Diagnosis and Management of Diabetes: Research Gaps and Future Directions",10.2337/dc16-0233,27457632,Furusyo et al.,Homo sapiens,Various
