Gene name	Protein ID	modification_types	in_Table_S1	source_file	source_table	source_row
ACTB	P60709	Arg MG-H	yes	00-full-text/Zheng et al. - 2024.pdf	Fig. 4 heatmap row labels (panels A)	read visually from figure -- see script docstring
ACTC1		Arg MG-H	no	00-full-text/Zheng et al. - 2024.pdf	Fig. 4 heatmap row labels (panels A)	read visually from figure -- see script docstring
ACTG1	P63261	Arg MG-H; Lys C-E/H; Cys C-E	yes	00-full-text/Zheng et al. - 2024.pdf	Fig. 4 heatmap row labels (panels ACD)	read visually from figure -- see script docstring
ACTR2	P61160	Cys C-E	yes	00-full-text/Zheng et al. - 2024.pdf	Fig. 4 heatmap row labels (panels D)	read visually from figure -- see script docstring
ALMS1		Arg C-E/H	no	00-full-text/Zheng et al. - 2024.pdf	Fig. 4 heatmap row labels (panels B)	read visually from figure -- see script docstring
AMMECR1	Q9Y4X0	Lys C-E/H; Cys C-E	yes	00-full-text/Zheng et al. - 2024.pdf	Fig. 4 heatmap row labels (panels CD)	read visually from figure -- see script docstring
ANKRD26P1	Q6NSI1	Lys C-E/H	yes	00-full-text/Zheng et al. - 2024.pdf	Fig. 4 heatmap row labels (panels C)	read visually from figure -- see script docstring
ANKRD34B	A5PLL1	Arg MG-H	yes	00-full-text/Zheng et al. - 2024.pdf	Fig. 4 heatmap row labels (panels A)	read visually from figure -- see script docstring
ANXA2	P07355	Lys C-E/H; Cys C-E	yes	00-full-text/Zheng et al. - 2024.pdf	Fig. 4 heatmap row labels (panels CD)	read visually from figure -- see script docstring
AP3D1		Arg C-E/H	no	00-full-text/Zheng et al. - 2024.pdf	Fig. 4 heatmap row labels (panels B)	read visually from figure -- see script docstring
APCDD1L	Q8NCL9	Arg MG-H; Cys C-E	yes	00-full-text/Zheng et al. - 2024.pdf	Fig. 4 heatmap row labels (panels AD)	read visually from figure -- see script docstring
APEX1		Cys C-E	no	00-full-text/Zheng et al. - 2024.pdf	Fig. 4 heatmap row labels (panels D)	read visually from figure -- see script docstring
ARHGDIB	P52566	Cys C-E	yes	00-full-text/Zheng et al. - 2024.pdf	Fig. 4 heatmap row labels (panels D)	read visually from figure -- see script docstring
ASH1L		Arg MG-H; Arg C-E/H; Lys C-E/H	no	00-full-text/Zheng et al. - 2024.pdf	Fig. 4 heatmap row labels (panels ABC)	read visually from figure -- see script docstring
